,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,1.96267394362e-05,2.04550175647e-05,2.29083095821e-05,2.52647075844e-05,2.66239777193e-05,2.3631150943e-05,2.19429798181e-05,1.94792109082e-05,2.16439259912e-05,2.0856664423e-05,2.33184105601e-05,2.47911839858e-05,2.60347282602e-05,2.43645784832e-05,2.23161844769e-05,2.14829973125e-05,2.17109600184e-05,2.23100119848e-05,2.54000295615e-05,2.48843014653e-05,2.59695541361e-05,2.49593365381e-05,2.43940658599e-05,2.41109739568e-05,2.31247043375e-05,2.30552192195e-05,2.52334573567e-05,2.55953814272e-05,2.75666002945e-05,2.55265941867e-05,2.61283604341e-05,2.61766616361e-05,2.43717333304e-05,2.36502267965e-05,2.58322244852e-05,2.4953808876e-05,2.65475042894e-05,2.64431403216e-05,2.57075020069e-05,2.6552971208e-05,2.59830827986e-05,2.40343495138e-05,2.53530455162e-05,2.65148505326e-05,2.55949429816e-05,2.90726904867e-05,2.78941678618e-05,2.84185325413e-05,2.83620420756e-05,2.6848502209e-05,2.5331930843e-05,2.7018044343e-05,2.8175390107e-05,2.64487426818e-05,2.57857033477e-05,2.83601661338e-05,2.83960322513e-05,2.45008227767e-05,0.0,2.52273794338e-05,2.81047256699e-05,2.79813243484e-05,3.1553005074e-05,2.95477770651e-05
1,2.07180546196e-05,1.90436085932e-05,1.77555608046e-05,1.77646641296e-05,2.05693287404e-05,2.3123156969e-05,2.41850905938e-05,2.21117602439e-05,2.17462351555e-05,1.96805827873e-05,1.81964671182e-05,1.8357281181e-05,2.12035350099e-05,2.25711766437e-05,2.44151909061e-05,2.53172681269e-05,2.35452906228e-05,1.98940495067e-05,1.97510715328e-05,1.89466714306e-05,2.25865960404e-05,2.3402976794e-05,2.47994209799e-05,2.98969869704e-05,2.40850763888e-05,2.29445506819e-05,2.11189446987e-05,2.06171554637e-05,2.29788933288e-05,2.34867005778e-05,2.40006922335e-05,2.85301381672e-05,2.47676725035e-05,2.37072242081e-05,2.28603270835e-05,2.28077512421e-05,2.37300031567e-05,2.34502820337e-05,2.60420425602e-05,2.75738787877e-05,2.48338755109e-05,2.40493767063e-05,2.48370462349e-05,2.24788582397e-05,2.37159274702e-05,2.49093212235e-05,2.47069279067e-05,2.74059449711e-05,2.55497657774e-05,2.2198751384e-05,2.2858723278e-05,2.44974686577e-05,2.4074885458e-05,2.53046177453e-05,2.54660924708e-05,2.52402563781e-05,2.64895631829e-05,2.62927587315e-05,2.39360512989e-05,2.33923602403e-05,2.40440843005e-05,2.4087295237e-05,2.43357835934e-05,2.47950247926e-05
2,2.02975866691e-05,2.14624671964e-05,2.03966219642e-05,1.99961779096e-05,1.77817243202e-05,1.67101077505e-05,1.63438284066e-05,1.76272113965e-05,2.05430912204e-05,2.1131320771e-05,2.15662717383e-05,1.94166032805e-05,1.79604341395e-05,1.69608020977e-05,1.6437340563e-05,1.77112910625e-05,2.23747901082e-05,2.29448602137e-05,2.40807013226e-05,2.0025280452e-05,1.82033740136e-05,1.70494429071e-05,1.7174819071e-05,1.88698220134e-05,2.60990049168e-05,2.65497871417e-05,2.5159715424e-05,1.98170090237e-05,1.79207352613e-05,1.73299387617e-05,1.86182904737e-05,2.01396104731e-05,2.63425030655e-05,2.69217469816e-05,2.79533338476e-05,2.05905807104e-05,1.84027876356e-05,1.76030439862e-05,2.0585055913e-05,2.38282337115e-05,2.48538646155e-05,2.64219425926e-05,2.78028887886e-05,2.28717854705e-05,2.10257021506e-05,1.8800125563e-05,2.28360228899e-05,2.45151317512e-05,2.55241101666e-05,2.60088098973e-05,2.82932434506e-05,2.67260372575e-05,2.46103270597e-05,2.41797164277e-05,2.61888537036e-05,2.68730365047e-05,2.66372120987e-05,2.61998325192e-05,2.42402610488e-05,2.66050436884e-05,2.18419881516e-05,2.13466348325e-05,2.25087449921e-05,2.55779532849e-05
3,2.26089266507e-05,2.22975352365e-05,2.15800774059e-05,2.00490812582e-05,1.8460855288e-05,1.74936492486e-05,1.80965448149e-05,1.96212978023e-05,2.22498564284e-05,2.30175486507e-05,2.12711951994e-05,1.98061699709e-05,1.8283149349e-05,1.79502738806e-05,1.88070360189e-05,1.95438142281e-05,2.24312147754e-05,2.35913431112e-05,2.13793391211e-05,1.9799023489e-05,1.89638641159e-05,1.93366126904e-05,1.85760005268e-05,1.9847756863e-05,2.3801407073e-05,2.35399665765e-05,2.14324902469e-05,2.04356177706e-05,1.94432250699e-05,2.07310557699e-05,1.94991666807e-05,2.1916039999e-05,2.19689269767e-05,2.4033759717e-05,2.2108466541e-05,2.18787954468e-05,2.06626727617e-05,2.11449839428e-05,2.00840230648e-05,2.15644794171e-05,2.46145337124e-05,2.49173638312e-05,2.16281351885e-05,2.21980794219e-05,2.23831505182e-05,2.78816089271e-05,2.26233925881e-05,2.25556169587e-05,2.55106793949e-05,2.61074289064e-05,2.31253437966e-05,2.34496588041e-05,2.17301739129e-05,2.26001632645e-05,2.20256509089e-05,2.24399434633e-05,2.33015051021e-05,2.46673480825e-05,2.43749285829e-05,2.38899812997e-05,2.18596883086e-05,2.07590946211e-05,1.9263277493e-05,2.09004854691e-05
4,2.32332702231e-05,2.23002864625e-05,2.0118308264e-05,1.93326433128e-05,1.84738784219e-05,1.90357336801e-05,2.03724830973e-05,2.26419277681e-05,2.36621809809e-05,2.16401223334e-05,2.00356219769e-05,1.9220620736e-05,1.85651516467e-05,1.9059425405e-05,2.07761984533e-05,2.25993971518e-05,2.56481488126e-05,2.22691344473e-05,1.96286480126e-05,1.91570946887e-05,1.894185205e-05,1.88725541768e-05,2.22235298605e-05,2.31960188936e-05,2.77806207509e-05,2.33724432355e-05,2.01530807597e-05,1.93725198104e-05,1.87855910832e-05,2.00730901617e-05,2.2399095807e-05,2.32039427247e-05,2.93225072879e-05,2.5844169881e-05,2.07559697931e-05,2.05029845863e-05,2.09054214215e-05,2.07972641068e-05,2.344899045e-05,2.50067348303e-05,3.21692590438e-05,2.66057104875e-05,2.15539101791e-05,2.05924581836e-05,2.03504381515e-05,2.16636083245e-05,2.46934483804e-05,2.61847582092e-05,2.93081642546e-05,2.68939771557e-05,2.24524068285e-05,2.08288158148e-05,2.28254001671e-05,2.26019143455e-05,2.32590089882e-05,2.89638934499e-05,2.97988354628e-05,2.72284824652e-05,2.16745003251e-05,2.23324254377e-05,0.0,2.25270951042e-05,2.43809952085e-05,2.84426559007e-05
5,1.83933721793e-05,2.13193254921e-05,2.39677587383e-05,2.13125903377e-05,2.02697131434e-05,1.87978616269e-05,1.74861232125e-05,1.7155241224e-05,1.84038840217e-05,2.1500097036e-05,2.33687050122e-05,2.18287720619e-05,2.00883985518e-05,1.89158856048e-05,1.77184722978e-05,1.75520553099e-05,1.90611096835e-05,2.092928879e-05,2.33128261217e-05,2.293893147e-05,2.00452904647e-05,1.93584292097e-05,1.83209327436e-05,1.80820301471e-05,2.05002320665e-05,2.26552934936e-05,2.369511136e-05,2.29201088531e-05,2.04771573711e-05,2.05239371053e-05,2.00756396038e-05,1.92498883246e-05,2.07233566096e-05,2.3270278658e-05,2.59948579558e-05,2.43378329105e-05,2.17762153772e-05,2.1147612189e-05,2.02801873858e-05,2.01465982973e-05,2.09118469762e-05,2.53455895352e-05,2.69854865358e-05,2.44559329353e-05,2.36080594864e-05,2.21020039311e-05,2.10429070752e-05,2.13552073909e-05,2.30628052079e-05,2.39256088853e-05,2.54136253312e-05,2.54427427226e-05,3.04237856977e-05,2.27683495408e-05,2.16058691236e-05,2.1733295202e-05,2.28960785933e-05,2.29148512936e-05,2.48820456171e-05,2.84874855781e-05,2.47535982782e-05,2.29589914506e-05,2.12643323743e-05,2.21721158662e-05
6,2.06768504049e-05,2.18880236184e-05,2.11591034201e-05,2.06755472208e-05,1.91858986877e-05,1.80434049583e-05,1.69940701263e-05,1.76494095417e-05,2.07378771057e-05,2.21133219194e-05,2.13512025328e-05,2.05226712403e-05,1.8991746996e-05,1.81512595672e-05,1.70405239165e-05,1.77828609093e-05,2.08245493194e-05,2.18880779863e-05,2.13126133739e-05,2.04649097683e-05,1.95003679621e-05,1.81931764856e-05,1.72660380206e-05,1.87044184522e-05,2.21509457553e-05,2.18251695506e-05,2.14736392584e-05,2.06359474103e-05,1.98793572814e-05,1.898540853e-05,1.79977449195e-05,2.05448301767e-05,2.49050904688e-05,2.2857549906e-05,2.20158478779e-05,2.06122303679e-05,2.0482427457e-05,2.21133791277e-05,1.93888518883e-05,2.40779480889e-05,3.43808740055e-05,2.42115221742e-05,2.258982661e-05,2.18094447246e-05,2.3459941165e-05,2.40285954495e-05,2.09919007217e-05,2.96370152779e-05,3.75868747314e-05,3.10509074629e-05,2.63002214603e-05,2.3394248627e-05,2.45772960211e-05,2.20725690568e-05,2.46397999655e-05,3.31602939457e-05,3.41652151216e-05,3.19158750108e-05,3.18961844972e-05,2.46534657381e-05,2.42007758262e-05,2.23817773116e-05,2.56892760852e-05,3.03831965871e-05
7,1.74154648351e-05,1.76196319143e-05,1.94420225829e-05,2.08316165529e-05,2.21637170747e-05,2.10231285143e-05,1.99119238836e-05,1.83941523773e-05,1.77440225039e-05,1.79106476304e-05,1.97438278033e-05,2.0663358528e-05,2.2045597018e-05,2.09950308423e-05,1.99678700243e-05,1.86168712991e-05,1.81810818613e-05,1.801672069e-05,2.00859118762e-05,2.05995515639e-05,2.18050222792e-05,2.07107229683e-05,2.02602505735e-05,1.94335641057e-05,1.87114084531e-05,1.84284237643e-05,2.0955466481e-05,2.14978736548e-05,2.21142675647e-05,2.04056954232e-05,1.97942061786e-05,1.93477180096e-05,2.05944329963e-05,1.86375468661e-05,2.30405665364e-05,2.48371280459e-05,2.3316122141e-05,2.11551973627e-05,2.02671405509e-05,1.98761728732e-05,2.0325082722e-05,1.95355315505e-05,2.68326697438e-05,2.80379242081e-05,2.8969411811e-05,2.34744007454e-05,2.21021932236e-05,2.22560401739e-05,3.36134558546e-05,2.25640949143e-05,3.38331867667e-05,2.76334799682e-05,3.10336992057e-05,2.80198012796e-05,2.44038120144e-05,3.10851811624e-05,3.51481061684e-05,2.58518742544e-05,0.0,0.0,3.09092258662e-05,3.12000770194e-05,2.98453275868e-05,3.63763435175e-05
8,1.75060314672e-05,1.703161418e-05,1.67442996057e-05,1.85668036555e-05,2.03697625968e-05,2.11421756226e-05,2.02233084433e-05,1.89744811268e-05,1.80922240639e-05,1.71723165825e-05,1.66629342458e-05,1.83234338811e-05,2.04923577626e-05,2.07239977717e-05,2.0278666734e-05,1.95414367279e-05,2.09090465569e-05,1.73109091688e-05,1.66845243765e-05,1.9019601444e-05,2.08972012675e-05,2.10527356238e-05,2.07548254354e-05,2.03901960248e-05,2.13666521879e-05,1.77165769182e-05,1.72410115971e-05,2.03156531585e-05,2.09856836194e-05,2.1560709852e-05,2.06508557091e-05,2.42439290688e-05,2.41099796196e-05,1.90381546629e-05,1.78170070125e-05,2.15242454852e-05,2.31481888852e-05,2.62960967496e-05,2.42797416274e-05,2.61486201742e-05,2.38379688021e-05,2.06090848305e-05,1.90946062094e-05,2.69768953138e-05,2.49180807741e-05,2.49862032137e-05,2.84809271074e-05,3.21069402707e-05,2.86455331259e-05,2.12336100516e-05,2.16514979395e-05,2.76023286051e-05,2.64596426335e-05,2.50069703081e-05,2.92888063766e-05,3.17707919119e-05,2.79209335539e-05,2.35895772543e-05,2.14214331062e-05,0.0,2.66032750642e-05,2.65934529235e-05,3.0047075726e-05,3.41739647836e-05
9,1.89763104457e-05,1.97449843987e-05,2.09620187978e-05,2.39738755374e-05,2.35604371669e-05,2.31009051021e-05,2.11511090099e-05,1.94291345983e-05,1.88512583432e-05,1.99837243958e-05,2.223832501e-05,2.47442930649e-05,2.38319371018e-05,2.29672788731e-05,2.15505176139e-05,1.99524592006e-05,1.99729651615e-05,2.14181951158e-05,2.31356352394e-05,2.49497770236e-05,2.5414421599e-05,2.28298412709e-05,2.13568936159e-05,2.00486353465e-05,2.13343832099e-05,2.45080501764e-05,2.45049726745e-05,2.53961134943e-05,2.8007722083e-05,2.39048027097e-05,2.24557434685e-05,2.2156725699e-05,2.31456638126e-05,2.46974085539e-05,2.54712947518e-05,2.77953971528e-05,2.81983240004e-05,2.58362274447e-05,2.45916308562e-05,2.53285084858e-05,2.32282681873e-05,2.57484232789e-05,2.60499694745e-05,2.51017209793e-05,2.65126242464e-05,2.82294381272e-05,2.43744131796e-05,2.3705661394e-05,2.32703421664e-05,2.65018374939e-05,2.51509989892e-05,2.52106240688e-05,2.7207501452e-05,2.88208544567e-05,3.0994142943e-05,2.61864453698e-05,2.2514424526e-05,2.21906489121e-05,2.47379000753e-05,2.39296352237e-05,2.82219874388e-05,2.8014937971e-05,2.82075918831e-05,2.76628628624e-05
