,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,2.52121654151e-05,2.57440972383e-05,2.70463738662e-05,2.71263042664e-05,2.74254176912e-05,2.42366724346e-05,2.36634744314e-05,2.56903726064e-05,2.72214894096e-05,2.65638696377e-05,2.69657209068e-05,2.84685553341e-05,2.80758730053e-05,2.58723614795e-05,2.59530646481e-05,2.75025799579e-05,2.84093068319e-05,2.76957025825e-05,2.81584280922e-05,2.85476358281e-05,2.73198413963e-05,2.58875589045e-05,2.67397104284e-05,2.86882525148e-05
1,2.83841184425e-05,2.77973355582e-05,2.94688227794e-05,3.14832287961e-05,3.28533576085e-05,3.25825989841e-05,3.19846927312e-05,3.08825492116e-05,3.07201764442e-05,2.97962377505e-05,3.03897974924e-05,3.25810202934e-05,3.33530494183e-05,3.38178471318e-05,3.26871586488e-05,3.29313021767e-05,3.27500539862e-05,3.10536442736e-05,3.00883991112e-05,0.0,0.0,3.35928159156e-05,3.44621882254e-05,3.41013178702e-05
2,2.28305572273e-05,2.12916382484e-05,2.11301748201e-05,2.15488407761e-05,2.29853964441e-05,2.3990044425e-05,2.58951140022e-05,2.51659188209e-05,2.39617869827e-05,2.24973750855e-05,2.27197242135e-05,2.31403052359e-05,2.46950983059e-05,2.48265951019e-05,2.64177860297e-05,2.7059974977e-05,2.65469628149e-05,2.48430727869e-05,2.42270228418e-05,0.0,0.0,2.4755564354e-05,2.65440576039e-05,2.63772136704e-05
3,2.94226766708e-05,2.86904853615e-05,2.80123896212e-05,2.40448004625e-05,2.3934015905e-05,2.40442479942e-05,2.38864354317e-05,2.63505756769e-05,2.84931506406e-05,2.8917959933e-05,2.69100626528e-05,2.5093695479e-05,2.45789263426e-05,2.53630571069e-05,2.58040912952e-05,2.70538865537e-05,3.10652485589e-05,2.82132883345e-05,2.92961027782e-05,2.57632997766e-05,2.53741798117e-05,2.63306100463e-05,2.66055871497e-05,2.9480329892e-05
4,2.56179868328e-05,2.71594964016e-05,2.75395772232e-05,2.63846481265e-05,2.56772787523e-05,2.30978092255e-05,2.25384354227e-05,2.23392265219e-05,2.85396707823e-05,2.94366483919e-05,2.88445261455e-05,2.58640187424e-05,2.77429429574e-05,2.40087145701e-05,2.4086931052e-05,2.50303354354e-05,3.00619761285e-05,3.04654008871e-05,3.05961178393e-05,3.12186761717e-05,2.67621469757e-05,2.73213043081e-05,2.60747408307e-05,2.63457451043e-05
5,2.64935251759e-05,2.78928390365e-05,2.87426312577e-05,2.83688228051e-05,2.86105400862e-05,2.54712761711e-05,2.57834936166e-05,2.55059128408e-05,3.02836202368e-05,3.20030261595e-05,3.05587183224e-05,3.0371465218e-05,3.04572499809e-05,2.77976815364e-05,2.86385348195e-05,2.81652813123e-05,3.31100416511e-05,3.27412759652e-05,3.11701271186e-05,3.29017382982e-05,3.09152335708e-05,2.93394342653e-05,2.90297319409e-05,3.02735078332e-05
6,2.68301902218e-05,2.60784797861e-05,2.88885305595e-05,2.95686062732e-05,2.95788898293e-05,2.96558161404e-05,2.91318796831e-05,2.57362096414e-05,2.97818117379e-05,3.0336212775e-05,3.28745046057e-05,3.24789243547e-05,3.16268435157e-05,2.98692074044e-05,3.05001642991e-05,3.04115192988e-05,3.23912497054e-05,3.19198453166e-05,0.0,0.0,3.30638484689e-05,3.62035650384e-05,3.17443744791e-05,3.24830923369e-05
7,2.97235028812e-05,2.92086493579e-05,2.64850562474e-05,2.4148239071e-05,2.40915077129e-05,2.27418250939e-05,2.50552435793e-05,2.80347026025e-05,3.13257862533e-05,3.1027807468e-05,2.73543401846e-05,2.51660443655e-05,2.62520247573e-05,2.5129345566e-05,2.66556450039e-05,2.98807887708e-05,3.52465850336e-05,3.24228718442e-05,2.85121414938e-05,2.78755314413e-05,0.0,2.56553747149e-05,2.68810496807e-05,3.29373701753e-05
8,2.53045026602e-05,2.51228940659e-05,2.34978877106e-05,2.39447311411e-05,2.65158984712e-05,2.7956737795e-05,2.79131803074e-05,2.76307391848e-05,2.92888118367e-05,3.09359957247e-05,2.57585843931e-05,2.59066000006e-05,2.76860162785e-05,2.98304503968e-05,3.06945195559e-05,3.05200919645e-05,3.41475875123e-05,3.39015345385e-05,2.88372560712e-05,2.87956665468e-05,0.0,0.0,3.1102753039e-05,2.89080157501e-05
9,2.5192062788e-05,2.31190330554e-05,2.17801282355e-05,2.20344540092e-05,2.19104387384e-05,2.61763592877e-05,2.78651910323e-05,2.88453374025e-05,3.33472274804e-05,3.00046468687e-05,2.45904179028e-05,2.68599692311e-05,2.44421093632e-05,3.00345791824e-05,2.9357384812e-05,3.36425938625e-05,3.99137498559e-05,3.37994044579e-05,3.11772741621e-05,0.0,2.81328271264e-05,2.86465356469e-05,3.31777500998e-05,3.49001797488e-05
