,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,3.7008058884256265e-05,2.360899485499443e-05,2.300567058197665e-05,2.568813440144928e-05,2.246368472110922e-05,2.1427927829435366e-05,3.33012963451769e-05,2.541508154114534e-05,4.848664243624708e-05,4.114291584900023e-05,2.7098752948875047e-05,2.306262865626488e-05,2.508405747303883e-05,2.7899835876671632e-05,6.008546793822134e-05,3.986156164051576e-05,4.5549507135288896e-05,4.403485640349766e-05,3.139594570884312e-05,4.553020327936293e-05,5.080931026460709e-05,6.976145548704047e-05,4.432998603716581e-05,0.0
1,1.9864239854618837e-05,2.330446871142889e-05,2.3576425698397783e-05,2.0450118793848472e-05,1.9894596645670386e-05,2.2616281996559498e-05,2.2127730698215747e-05,2.268297330722658e-05,3.725880458548335e-05,3.830765080370116e-05,3.5031218456444764e-05,2.6731283270111888e-05,2.250076731475514e-05,2.8312412032926274e-05,2.644433847275675e-05,3.6791539238077355e-05,6.043627931850625e-05,5.6762903988746526e-05,4.50815637438646e-05,2.304963167840926e-05,0.0,2.8048186042698994e-05,3.6792531642301e-05,5.0026872408959396e-05
2,1.9077685574768173e-05,1.7282183620564976e-05,2.6017862569955483e-05,2.474820725567183e-05,2.4378548015862245e-05,2.7545863451896843e-05,2.492944077443127e-05,2.2581465345379183e-05,2.105669010654067e-05,2.7507303194422195e-05,3.050224847787049e-05,3.1207115520301266e-05,3.041273283477254e-05,3.156669226498935e-05,4.150701065454694e-05,3.3079256688018415e-05,5.6669589117058924e-05,3.876028429022869e-05,0.0,3.830034008126487e-05,0.0,5.441118602549865e-05,5.580283985323228e-05,4.9763406716411016e-05
3,2.2794704339506514e-05,2.1187854350309054e-05,2.2502778380086774e-05,3.256883841343863e-05,2.532298581512252e-05,2.2424189630817645e-05,2.272136585791573e-05,1.8826312881546734e-05,3.115823243595588e-05,3.49270436176337e-05,3.64919381509829e-05,3.8555914401941426e-05,2.9533625458194324e-05,2.1879898699218452e-05,2.2814708638951662e-05,2.567355361958223e-05,7.046642667487737e-05,6.423340424199611e-05,4.450849555512112e-05,0.0,3.685407043444852e-05,4.179420965372889e-05,4.4018519128320685e-05,4.8203384445784695e-05
4,3.213862768041648e-05,2.6538431954610063e-05,2.694327482567227e-05,2.159964639036729e-05,1.990623500783881e-05,1.9299502870379695e-05,1.7695485040507524e-05,2.3538456524618802e-05,4.4882613352311074e-05,3.450308221661206e-05,3.836151032791922e-05,3.90255754400214e-05,3.1109906144972354e-05,2.4806250521286647e-05,2.7306079409390375e-05,5.3116652872527116e-05,6.605331581240399e-05,5.7606818486522363e-05,3.720768509939902e-05,0.0,4.361604026279446e-05,5.263667410808954e-05,5.5268768013770216e-05,6.210586283540081e-05
5,2.6870203914957753e-05,3.241372735497842e-05,2.250765121723106e-05,1.892799384609555e-05,1.896889700982568e-05,1.7903146162494683e-05,1.924157159183023e-05,1.8134674962512564e-05,6.36769689404166e-05,5.5495495693001975e-05,2.94793926041123e-05,2.2118000263783296e-05,2.0839378879874873e-05,2.0828189403120305e-05,2.422004757157492e-05,4.3490067132235174e-05,6.245022410823417e-05,4.9036258885064044e-05,3.487681257649013e-05,2.4252560443166228e-05,0.0,3.011413184663488e-05,4.559527436162639e-05,5.9509902716082206e-05
6,3.340758125524757e-05,3.206470514986064e-05,1.88820627501665e-05,1.859271336986233e-05,1.99221299548849e-05,2.3273364850682888e-05,2.1429929150292057e-05,2.8891581780144596e-05,5.231224711822035e-05,4.137963772725423e-05,2.5330478667818225e-05,2.3780911556563352e-05,1.9989751348300015e-05,2.24615131852725e-05,3.869218081339598e-05,4.904898498796622e-05,5.692611339103277e-05,6.279023854913064e-05,3.664163841989149e-05,3.691407363911063e-05,4.592483357058624e-05,5.4345083050282237e-05,0.0,0.0
7,2.3947976544889857e-05,2.3137465348712057e-05,2.235135031484296e-05,2.2396048898007978e-05,2.4443969278526592e-05,2.2106538000857736e-05,2.2479476592295024e-05,2.2924653511458642e-05,3.07107001018546e-05,2.947743832407596e-05,2.5654373064432877e-05,2.6261318304845218e-05,2.0993729657502242e-05,3.204797117755968e-05,2.917313799179122e-05,3.521130708920092e-05,6.812060883001179e-05,7.157504369455048e-05,5.916444263898762e-05,3.18808718597164e-05,3.069383745873596e-05,0.0,4.6834839180694483e-05,4.453499789997921e-05
8,2.6496616016338073e-05,2.5992734162926783e-05,2.0776895998752297e-05,2.6434346554016605e-05,2.0243655928548892e-05,2.3457461889697712e-05,2.3064645793319097e-05,2.4505031203914737e-05,3.9059456987083334e-05,3.172636716299314e-05,2.9349720150836614e-05,2.865183624531017e-05,3.22705602796474e-05,2.5779330186949974e-05,2.6872009520033145e-05,3.654504288370299e-05,5.27082313713734e-05,3.931959750082168e-05,4.240769462884806e-05,2.4812048060136934e-05,2.4413772157951414e-05,2.324297316344224e-05,3.699460506816466e-05,4.341747979843253e-05
9,2.3710639965436017e-05,2.2409034089647444e-05,2.5234444854217962e-05,2.17564129907595e-05,2.115292057587712e-05,2.8344925970081402e-05,2.5852260872099228e-05,2.5400963196583233e-05,4.0512898795675135e-05,3.4060823633020356e-05,4.3400986723235004e-05,3.074379614223289e-05,2.9627153626611787e-05,3.685807008982905e-05,3.663105970290576e-05,4.280865287380501e-05,7.573215052473413e-05,8.512167007270202e-05,7.392571491735597e-05,7.190044896246329e-05,0.0,4.4258590105919094e-05,5.001880100051067e-05,5.678936323787757e-05
