,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,3.5336093833217795e-05,4.5183754196128385e-05,4.768924854757685e-05,3.404425210953232e-05,3.4543546870236905e-05,2.6303215291791687e-05,1.9523243982459557e-05,2.8830403136692177e-05,5.070833721214091e-05,4.961066761942694e-05,5.7733375831216216e-05,4.879946603955242e-05,4.746147366454584e-05,4.47200397440803e-05,3.216037275462639e-05,3.953227500492048e-05,7.09605367993073e-05,5.827795963748609e-05,0.0,6.148986616616864e-05,5.017322944020523e-05,5.1278970060459605e-05,4.4046597686594476e-05,6.245899507503502e-05
1,3.0284744461745055e-05,3.266806857592262e-05,3.639664684219452e-05,3.334842005787429e-05,3.302155850277881e-05,3.759114638867838e-05,2.8758840014769865e-05,3.049988823377024e-05,3.952835277958118e-05,3.805062420549344e-05,4.124280679185416e-05,4.1910632943829e-05,4.6265516662199126e-05,4.1228816390934116e-05,4.102672661255277e-05,4.3243109227854184e-05,4.813717690742581e-05,5.553434256097069e-05,5.7043037879426594e-05,5.337383584588062e-05,4.235345233977459e-05,3.160185133445935e-05,2.972664032204111e-05,2.893380673309348e-05
2,3.0084251688479833e-05,3.314034694819731e-05,4.5467010331950394e-05,2.627154039345648e-05,3.8769085707843804e-05,2.141292785279563e-05,2.727050316584249e-05,3.580432680913149e-05,5.100956652258693e-05,4.5054255993503006e-05,6.623467937900268e-05,4.7788928234320114e-05,5.9766525428417114e-05,4.2355860969525366e-05,4.5214755633922246e-05,5.029599354551234e-05,6.517564976716641e-05,5.6207758893372256e-05,5.89677728890001e-05,6.484942392225238e-05,5.387303892281631e-05,4.244708753459456e-05,4.231200655392656e-05,0.0
3,3.29602447134378e-05,3.745402756419139e-05,2.924753357393224e-05,3.241510774890055e-05,3.215383740051097e-05,2.6983134738240742e-05,2.4560268966879024e-05,3.013592923160128e-05,3.8433866625436455e-05,4.9564890066493086e-05,4.1083074050163075e-05,3.4781231818850795e-05,3.362590728002758e-05,3.2059232330316e-05,3.775516213061865e-05,3.6564136368953806e-05,6.315461142529436e-05,5.479037330056766e-05,3.767926258333079e-05,3.095262820655778e-05,3.850666731789143e-05,0.0,3.999356451755514e-05,5.2772807235701646e-05
4,2.9451321892297955e-05,3.00100539531706e-05,3.2776908559573306e-05,3.088815829270996e-05,4.743671927602266e-05,3.244703743122654e-05,3.8208760230285866e-05,3.986415001209087e-05,4.839373271569532e-05,4.056201422296398e-05,5.367694601589158e-05,4.1799240194058305e-05,5.7954346166798617e-05,5.347878806974885e-05,5.234763545838356e-05,5.593862024796811e-05,5.8473917175310866e-05,0.0,4.855646251730071e-05,4.6426898770169256e-05,4.303083916070831e-05,5.319960017131767e-05,5.7209177935785966e-05,5.063922523084958e-05
5,3.4311179301953944e-05,4.6285971704373135e-05,3.097197908366055e-05,2.589833008820427e-05,2.8923194323636034e-05,2.3357077443762148e-05,2.5940341272158823e-05,3.115552890820937e-05,4.819075647512842e-05,5.504435715220928e-05,5.021963193282412e-05,4.4340333846495945e-05,4.48761866382562e-05,4.2076635213610215e-05,3.9786882329655697e-05,4.5854300836961616e-05,6.508381959304312e-05,7.05717896255195e-05,6.714382682917405e-05,5.240557601053563e-05,3.7123554717005745e-05,4.31873855043822e-05,4.974897290516656e-05,0.0
6,3.681939395978053e-05,3.140734339916515e-05,2.901033905578637e-05,2.7139547571113833e-05,3.0122081119401053e-05,3.882188802917352e-05,2.9151402990923647e-05,3.6951894560415366e-05,3.9135991504464385e-05,3.4275404571527544e-05,4.033134887972716e-05,3.5539491679141005e-05,3.8173924664101054e-05,4.763276616251331e-05,4.2132941131780745e-05,3.9243211111503215e-05,3.932503477008703e-05,3.7628362763881156e-05,0.0,3.848467239901956e-05,3.596857884111924e-05,4.0280896523169085e-05,4.119972361773894e-05,3.803923442091275e-05
7,3.547994693396417e-05,3.139957446077936e-05,3.510396711152985e-05,3.35616177649952e-05,3.449200962205395e-05,3.5948428503245916e-05,3.2268491916136294e-05,3.152100310786843e-05,3.799707751182042e-05,3.68392286148176e-05,2.843344636498671e-05,3.843414857686207e-05,4.2412022649701016e-05,3.8528120657458005e-05,4.163656849126507e-05,4.2091597443304546e-05,0.0,3.440852589051118e-05,3.9686196834740685e-05,4.037124177196839e-05,4.9000008276028895e-05,4.728928762553299e-05,4.9790357433172865e-05,4.4561046558640626e-05
8,3.2299663913680804e-05,2.9816780137020773e-05,3.578084319711377e-05,3.730681209410571e-05,3.166561309046839e-05,3.31918520923815e-05,4.546017059871297e-05,3.457092281732284e-05,3.624575995409807e-05,3.702796517679929e-05,4.4680759714763584e-05,4.404368192351659e-05,4.264514993128087e-05,4.122624727760984e-05,4.411990888528183e-05,4.117493038890393e-05,3.43566569886115e-05,0.0,0.0,5.066687478230881e-05,5.220192685245282e-05,5.086292133369314e-05,4.3557935498859635e-05,4.016508732901249e-05
9,2.783977774734539e-05,3.5226758609394254e-05,3.05364821959565e-05,3.622457890022521e-05,3.396559601648797e-05,4.359652478358436e-05,4.419550667852849e-05,3.24637975289309e-05,4.8574385660461424e-05,4.1780002917601676e-05,3.741308280397702e-05,4.359428047027369e-05,3.633907470582154e-05,5.293667144553971e-05,5.8111251758434954e-05,4.9986175940724757e-05,5.734473081952956e-05,3.938142851064247e-05,3.0738509088973894e-05,3.629525999503498e-05,0.0,7.06390227295255e-05,5.6293059807088235e-05,5.8516906961847726e-05
10,3.282661384817816e-05,3.30807610914413e-05,3.466741615580248e-05,2.700065330764404e-05,3.49287442269057e-05,3.528774036498689e-05,3.3250930449676747e-05,3.2201865391108795e-05,4.694372056131968e-05,4.192576634836104e-05,4.584918717263961e-05,4.130599885040456e-05,3.3442624792834504e-05,4.050157816175962e-05,4.2794129217857636e-05,4.950980433042261e-05,4.504486804113703e-05,4.8302842480005944e-05,4.595053336153466e-05,3.644811899960263e-05,0.0,0.0,4.9446210779886506e-05,5.51708568900822e-05
11,2.7979599481660233e-05,2.8868371881542608e-05,3.5984540253487264e-05,2.49119877298361e-05,2.8982126265668404e-05,0.0,3.52983301044889e-05,2.964744485689094e-05,3.310291924640581e-05,3.806086491975599e-05,3.519644598478679e-05,4.0961634348823784e-05,4.246347746339424e-05,0.0,3.866703886997369e-05,3.8629702387026924e-05,4.9276083837639136e-05,5.707282184272316e-05,4.655919868932873e-05,5.01711997304833e-05,4.179824968293778e-05,0.0,0.0,4.778851700275855e-05
12,3.456131623778967e-05,3.1144475558759864e-05,3.82349437205913e-05,3.6969324329540876e-05,3.847760382886531e-05,3.413267579729969e-05,3.4067481291292665e-05,3.5205975966405686e-05,4.011338938437149e-05,3.611334648100378e-05,4.371612153459253e-05,4.775124087933534e-05,4.790554015838547e-05,4.292842209060213e-05,3.555316828113872e-05,3.724738030201529e-05,5.020416899760069e-05,4.410018672695332e-05,0.0,5.227773975742566e-05,5.161196809903773e-05,4.639159973315168e-05,4.9950071924936026e-05,5.331239210839656e-05
13,4.125188269313734e-05,3.628602572648695e-05,3.64506986430198e-05,2.7096654145045802e-05,2.9215128455346177e-05,3.095491811435204e-05,3.0022076625000793e-05,3.366221550829177e-05,4.532601408905735e-05,4.269298304424583e-05,3.896196369394169e-05,3.551786008109338e-05,3.948063877009398e-05,3.939629986238687e-05,3.9654620760539777e-05,3.894314809574072e-05,4.687696492719915e-05,4.651262959605193e-05,4.4208319847779455e-05,3.17828055683918e-05,3.578265987666038e-05,4.028661172368375e-05,0.0,0.0
14,3.6740382241808407e-05,3.5782431964991904e-05,2.9758255380621156e-05,3.468420267797475e-05,2.6584703334053174e-05,3.035604284921061e-05,3.172674800187009e-05,2.8480039988139355e-05,4.6113212672346724e-05,4.303874174573617e-05,3.731361326712296e-05,3.463136396996017e-05,3.0832575113649445e-05,3.262975256267712e-05,4.096338543143696e-05,3.867775248421225e-05,4.8614836713656015e-05,4.753705888841189e-05,4.566459652736765e-05,3.8426797122036016e-05,2.3458144980726753e-05,4.629926575319709e-05,4.413020470459411e-05,5.6876958647421206e-05
15,3.775487186333567e-05,2.919877548769172e-05,2.687189142889713e-05,2.3477137515777668e-05,2.568491676145594e-05,2.9140549550006354e-05,2.797470747953351e-05,3.674316301148099e-05,5.9363659679499456e-05,5.145746303076231e-05,3.773463454844112e-05,3.222943554421488e-05,4.211106265483702e-05,4.343431496523398e-05,5.043354248048585e-05,6.854771094930852e-05,7.099527681063375e-05,5.963086020671621e-05,4.959521930810666e-05,3.138531267392892e-05,0.0,5.051109670839764e-05,6.03986845179383e-05,7.179922096596458e-05
16,3.000720310370433e-05,3.4936050663878616e-05,3.2082383679062976e-05,3.767021862049721e-05,3.4778938816326855e-05,4.2423152785429745e-05,3.151899335116279e-05,2.975437827637305e-05,3.58638965979425e-05,4.106226489034722e-05,4.3744202220658506e-05,4.228753362065923e-05,4.098418432599659e-05,4.1859295846628906e-05,4.243463144985049e-05,5.131800772954661e-05,4.1725755791744094e-05,4.217490106118553e-05,3.7744940966102714e-05,4.947290329275243e-05,6.065557386139851e-05,5.826834001123599e-05,5.161893921497773e-05,4.0431960659560316e-05
17,4.651895860300252e-05,3.791206979372983e-05,2.8764602795871864e-05,3.62088970702174e-05,2.7272683024070316e-05,3.517622840351116e-05,2.994190813802052e-05,3.5855175897323374e-05,5.1176148809993725e-05,4.91098868442375e-05,3.9456133246729605e-05,4.421120888854624e-05,3.0654934570042396e-05,4.289524173805334e-05,4.166135934409539e-05,3.0421247818711887e-05,5.247593722281599e-05,5.98554125798986e-05,5.4705019232827684e-05,3.977373632453296e-05,3.737061470412265e-05,0.0,3.1731410227272966e-05,4.412893918292432e-05
18,3.334082459989359e-05,3.7439024456266593e-05,3.126289543955274e-05,2.4051992615962414e-05,3.061947385809891e-05,3.6419216948243575e-05,3.499044351322106e-05,3.3560195799597744e-05,4.315085503980414e-05,4.1441616007106285e-05,4.3160175392771745e-05,3.022500405127662e-05,3.7085536515959665e-05,4.799411190653347e-05,3.691086077309845e-05,4.7870781853400186e-05,5.4191609834568094e-05,6.0219606582945264e-05,4.768475929428776e-05,3.6247904050083926e-05,0.0,5.025784245284234e-05,4.4181446460306865e-05,0.0
19,3.3442924119583404e-05,3.555576780735707e-05,3.3236130261991946e-05,3.280489559959272e-05,3.745991930887311e-05,3.442511481975026e-05,3.825911072400103e-05,2.979514636332569e-05,4.321670367011258e-05,4.763739340052588e-05,4.363062963425068e-05,3.869551528768674e-05,4.397414443871011e-05,4.59465156176772e-05,5.045844111124826e-05,4.131010802358307e-05,4.8122593181766196e-05,4.488609705209034e-05,4.6523594482417444e-05,4.65937787589125e-05,4.933215594690935e-05,3.858411104435877e-05,3.281945729416867e-05,3.943786928778923e-05
