,Gene,Image,MTOC,MTOC leading edge,Non MTOC1,Non MTOC2,Non MTOC3,timepoint
10_1,arhgdia,10,0.9595611321132446,,1.8250180803573657,1.4109382649820565,0.7341713617439583,3h
10_2,arhgdia,10,0.9967212105508145,,1.8304673847165713,1.3814909295306566,0.737358891960119,3h
10_3,arhgdia,10,0.983964514774082,,1.8283528819408126,1.3947877936856607,0.7402584413054873,3h
10_4,arhgdia,10,0.9684881162317186,,1.960062086261672,1.413748412759863,0.6368708216254196,3h
10_5,arhgdia,10,1.005000745313205,,1.949870203702438,1.3865418999822559,0.6386221075622085,3h
10_6,arhgdia,10,1.040359218339709,,1.8689975494001767,1.3810038957934119,0.6404034660502602,3h
10_7,arhgdia,10,1.040359218339709,,1.8689975494001767,1.3810038957934119,0.6404034660502602,3h
10_8,arhgdia,10,1.0522846937350159,,1.792770093188747,1.3965751010733882,0.6407711500918826,3h
10_9,arhgdia,10,1.0623724478064824,,1.7808505669769237,1.4154592068156446,0.5880300261629751,3h
10_10,arhgdia,10,1.0512559878734606,,1.7021881758763617,1.4544174315653295,0.5887067870626511,3h
10_11,arhgdia,10,1.0631301230784305,,1.694709590017295,1.4488313476290793,0.5886691483703002,3h
10_12,arhgdia,10,1.075202586554124,,1.62052323853754,1.466390476041506,0.5875047313463415,3h
10_13,arhgdia,10,1.0872012370223105,,1.6111331389698738,1.461470469750164,0.586755936124131,3h
10_14,arhgdia,10,1.0549463739808644,,1.6036414406107296,1.4798028036043764,0.6389267791463705,3h
10_15,arhgdia,10,1.0886406378179199,,1.4644808477101796,1.498654129568956,0.6372243525568385,3h
10_16,arhgdia,10,1.0783533088196469,,1.3925147972521814,1.542464476090679,0.6355611340967671,3h
10_17,arhgdia,10,1.0862549859761712,,1.55152238605222,0.6320815658715818,1.3743326259354405,3h
10_18,arhgdia,10,1.057228221422138,,0.683636500400248,1.250065535459797,1.6124238240899087,3h
10_19,arhgdia,10,1.057228221422138,,0.683636500400248,1.250065535459797,1.6124238240899087,3h
10_20,arhgdia,10,1.0262839079093606,,0.7856523499206327,1.2464649469788698,1.6104671563112487,3h
