,Gene,Image,MTOC,MTOC leading edge,Non MTOC1,Non MTOC2,Non MTOC3,timepoint
1_1,arhgdia,1,0.5658971746767733,,0.7288890178617539,0.4966559414454853,0.9298632439583331,3h
1_2,arhgdia,1,0.566138324869918,,0.7398112060281142,0.49756679509835056,0.916558491728767,3h
1_3,arhgdia,1,0.566138324869918,,0.7398112060281142,0.49756679509835056,0.916558491728767,3h
1_4,arhgdia,1,0.5664908753770402,,0.7508427751943004,0.498626322247664,0.9026880453300038,3h
1_5,arhgdia,1,0.5666656229060649,,0.7636771071720581,0.4999765026990939,0.8868013551240155,3h
1_6,arhgdia,1,0.5666656229060649,,0.7636771071720581,0.4999765026990939,0.8868013551240155,3h
1_7,arhgdia,1,0.5663439729439799,,0.7739892970132352,0.5009049876086341,0.8751737609948119,3h
1_8,arhgdia,1,0.5662963476890526,,0.7847397085133722,0.5018941668640501,0.862653256151061,3h
1_9,arhgdia,1,0.5662963476890526,,0.7847397085133722,0.5018941668640501,0.862653256151061,3h
1_10,arhgdia,1,0.5661860571531057,,0.7969907087434919,0.5032835560918885,0.8480258893563316,3h
1_11,arhgdia,1,0.5663330627814975,,0.8096330149342307,0.5045782436873205,0.8331929242306558,3h
1_12,arhgdia,1,0.5663330627814975,,0.8096330149342307,0.5045782436873205,0.8331929242306558,3h
1_13,arhgdia,1,0.5667312803906044,,0.8232055516747111,0.505884619121284,0.8169954911316146,3h
1_14,arhgdia,1,0.5658809703274584,,0.8384038045340472,0.5072106893533883,0.801271823355994,3h
1_15,arhgdia,1,0.5658809703274584,,0.8384038045340472,0.5072106893533883,0.801271823355994,3h
1_16,arhgdia,1,0.5647841925635662,,0.8652938227829186,0.5067600651828297,0.7788114839318967,3h
1_17,arhgdia,1,0.5654664376331467,,0.8708914642706138,0.5070710025078565,0.771281550578383,3h
1_18,arhgdia,1,0.5654664376331467,,0.8708914642706138,0.5070710025078565,0.771281550578383,3h
1_19,arhgdia,1,0.5649914265057784,,0.8848975843730575,0.508656492952554,0.7568162536325842,3h
1_20,arhgdia,1,0.5654166897450473,,0.8986641101316769,0.508868717351039,0.7433397589639212,3h
1_21,arhgdia,1,0.5654166897450473,,0.8986641101316769,0.508868717351039,0.7433397589639212,3h
1_22,arhgdia,1,0.565764393253813,,0.9102596343204439,0.5097008343920921,0.7319554660938553,3h
1_23,arhgdia,1,0.5657054672665136,,0.9199287851385243,0.5107803318696272,0.722201668547264,3h
1_24,arhgdia,1,0.5657054672665136,,0.9199287851385243,0.5107803318696272,0.722201668547264,3h
1_25,arhgdia,1,0.5659327035747372,,0.9277801921506122,0.5125534478406191,0.712409104819546,3h
1_26,arhgdia,1,0.5657898093002609,,0.9354045700888459,0.5142152111477766,0.703135560131528,3h
1_27,arhgdia,1,0.5657898093002609,,0.9354045700888459,0.5142152111477766,0.703135560131528,3h
1_28,arhgdia,1,0.5647117853481011,,0.9434367260917419,0.5159887542554981,0.6945726173448866,3h
1_29,arhgdia,1,0.5627642907048905,,0.9510536347746336,0.5186872999776838,0.6860034360335328,3h
1_30,arhgdia,1,0.5627642907048905,,0.9510536347746336,0.5186872999776838,0.6860034360335328,3h
1_31,arhgdia,1,0.5603765409578677,,0.956998960324186,0.5215614115612232,0.6795167002185291,3h
1_32,arhgdia,1,0.5603765409578677,,0.956998960324186,0.5215614115612232,0.6795167002185291,3h
1_33,arhgdia,1,0.5578758383839102,,0.9635363755527124,0.5249345020532938,0.6719769671943541,3h
1_34,arhgdia,1,0.5545507788983606,,0.9760976834140279,0.5290250432826046,0.6602809039635571,3h
1_35,arhgdia,1,0.5545507788983606,,0.9760976834140279,0.5290250432826046,0.6602809039635571,3h
1_36,arhgdia,1,0.5530494172907179,,0.9814477116845147,0.5312049816913839,0.6534384321652233,3h
1_37,arhgdia,1,0.5514339436261503,,0.9894635206684647,0.5333232673911232,0.6458766943204434,3h
1_38,arhgdia,1,0.5514339436261503,,0.9894635206684647,0.5333232673911232,0.6458766943204434,3h
1_39,arhgdia,1,0.548572332435947,,1.0025580664086595,0.5367480980679203,0.6348356591344565,3h
1_40,arhgdia,1,0.545904880153941,,1.0087382220918997,0.5396168138487468,0.62896434826825,3h
1_41,arhgdia,1,0.545904880153941,,1.0087382220918997,0.5396168138487468,0.62896434826825,3h
1_42,arhgdia,1,0.5399398177513107,,1.0218591023482886,0.5438870208438988,0.6216425957777778,3h
1_43,arhgdia,1,0.5399398177513107,,1.0218591023482886,0.5438870208438988,0.6216425957777778,3h
1_44,arhgdia,1,0.536906064041698,,1.0246791846349046,0.5465350301133997,0.619853354239957,3h
1_45,arhgdia,1,0.5331682402038034,,1.0278047747297232,0.5492097381857156,0.6189586208843981,3h
1_46,arhgdia,1,0.5311403775534136,,1.0296901533713452,0.5506833501732513,0.6185428518202116,3h
1_47,arhgdia,1,0.5268667983190066,,1.0324592233689438,0.5535702122761909,0.6187267192327464,3h
1_48,arhgdia,1,0.5268667983190066,,1.0324592233689438,0.5535702122761909,0.6187267192327464,3h
1_49,arhgdia,1,0.5203037628771255,,1.039099889265684,0.5581120080059302,0.6161096023775046,3h
1_50,arhgdia,1,0.5203037628771255,,1.039099889265684,0.5581120080059302,0.6161096023775046,3h
1_51,arhgdia,1,0.514323800724999,,1.0469789760561607,0.5621030977757567,0.6118510269376308,3h
1_52,arhgdia,1,0.514323800724999,,1.0469789760561607,0.5621030977757567,0.6118510269376308,3h
1_53,arhgdia,1,0.5123151803562753,,1.0523321666273242,0.5636221172617064,0.6077633756203373,3h
1_54,arhgdia,1,0.5097755851878525,,1.0606311481709192,0.5671839549450572,0.5987833350367191,3h
1_55,arhgdia,1,0.5097755851878525,,1.0606311481709192,0.5671839549450572,0.5987833350367191,3h
1_56,arhgdia,1,0.5082846244122887,,1.067899189669726,0.5713950305514887,0.5885947119036876,3h
1_57,arhgdia,1,0.5082846244122887,,1.067899189669726,0.5713950305514887,0.5885947119036876,3h
1_58,arhgdia,1,0.5074738871193082,,1.069709642212555,0.5743415350651156,0.584609926213469,3h
1_59,arhgdia,1,0.5057604637549787,,1.0702911085813114,0.5778239889844261,0.5822812139893955,3h
1_60,arhgdia,1,0.5044364538707968,,1.0704309316954101,0.5808195767181741,0.5804842667657241,3h
1_61,arhgdia,1,0.503001199136156,,1.0789905706806338,0.5850308326991654,0.575608303237056,3h
1_62,arhgdia,1,0.5036909781015853,,1.0673592471181674,0.5868623650235106,0.577370442289229,3h
1_63,arhgdia,1,0.5037473255508367,,1.0672959216102789,0.5898303165956209,0.5742632828153382,3h
1_64,arhgdia,1,0.5037473255508367,,1.0672959216102789,0.5898303165956209,0.5742632828153382,3h
1_65,arhgdia,1,0.5026210330758193,,1.0654729647268677,0.5960091246957873,0.5706996090617525,3h
1_66,arhgdia,1,0.5026210330758193,,1.0654729647268677,0.5960091246957873,0.5706996090617525,3h
1_67,arhgdia,1,0.5014394145139761,,1.0636848089070814,0.6026073021204679,0.5680261280607205,3h
1_68,arhgdia,1,0.5014394145139761,,1.0636848089070814,0.6026073021204679,0.5680261280607205,3h
1_69,arhgdia,1,0.5006680123103439,,1.05612524966895,0.6102643584248765,0.5661292358688548,3h
1_70,arhgdia,1,0.5006680123103439,,1.05612524966895,0.6102643584248765,0.5661292358688548,3h
1_71,arhgdia,1,0.5003554903667528,,1.052552314556538,0.6150360219411685,0.5648413584154572,3h
1_72,arhgdia,1,0.4999641967564964,,1.0500537877911305,0.6183943361226527,0.5642433851519432,3h
1_73,arhgdia,1,0.49940669102540125,,1.0443879556557345,0.6237485253406236,0.5641545371571166,3h
1_74,arhgdia,1,0.4993642942148073,,1.0397278871851738,0.629398693659232,0.5631730880826981,3h
1_75,arhgdia,1,0.4996759103017994,,1.0344692326235987,0.6327543753099127,0.563325345537029,3h
1_76,arhgdia,1,0.5001912009369495,,1.027382139490415,0.6382289177122855,0.5632073418645822,3h
