,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,3.791715956100521e-05,3.6807607233245066e-05,3.2437509779897e-05,3.320571665247887e-05,3.335231716608396e-05,3.432187006973081e-05,3.782950597697743e-05,3.9525112540922326e-05,4.491148286666958e-05,3.800641659242915e-05,4.017331727564252e-05,4.266771765228503e-05,3.9682984886556205e-05,3.944608322197253e-05,4.529129491706092e-05,4.569866592077719e-05,5.042247630145505e-05,4.872654913604779e-05,3.984415874512159e-05,0.0,4.55068536977344e-05,0.0,5.165847270174947e-05,5.132726608628343e-05
1,3.678692036808755e-05,3.354548278801553e-05,3.498120590879739e-05,3.1481592853737415e-05,3.202908318756978e-05,3.381988466682204e-05,3.156025453912724e-05,3.583718463019279e-05,4.318112843197661e-05,4.245179216276869e-05,4.037440325180862e-05,3.663170648872198e-05,3.528355721523108e-05,3.592431791938206e-05,4.0440295163951487e-05,4.2450561561639544e-05,4.50537883636042e-05,4.41790942107306e-05,4.0295678198169485e-05,3.667894756878009e-05,3.487019164405254e-05,0.0,3.9227336781252174e-05,4.28049956279943e-05
2,3.38336866671231e-05,3.339172956261488e-05,3.285030244760891e-05,0.0,3.0180619083515608e-05,2.951884982856127e-05,3.153655116441061e-05,3.262483381261655e-05,3.8822669769710405e-05,3.595175056629938e-05,3.576329138145175e-05,0.0,3.184755507877429e-05,3.2937607820781127e-05,3.42975932939102e-05,3.522736228506979e-05,3.9809550102471724e-05,4.284364135609941e-05,3.894758928875256e-05,0.0,3.420564310285493e-05,3.3836853164455024e-05,3.760754212646222e-05,3.907852255590999e-05
3,3.5801913054983296e-05,3.706713266346661e-05,3.0063416463844567e-05,3.061013450274221e-05,3.4093419769831884e-05,3.13556904891841e-05,3.314584486945191e-05,3.656179877334574e-05,3.801831165249909e-05,3.48749478361109e-05,3.361435507359967e-05,3.451518279865937e-05,3.7350925475069105e-05,3.296775818537103e-05,3.774388121617529e-05,4.190959078155071e-05,4.7119573143995345e-05,4.7547399260957626e-05,3.537877195686271e-05,3.343194567022467e-05,0.0,0.0,0.0,4.5872431433321323e-05
4,3.741659632228834e-05,3.6127026294033704e-05,3.41095958426539e-05,3.206967710517162e-05,3.3683618034913864e-05,3.485003125289628e-05,3.569525539295422e-05,3.714411367227495e-05,4.573376483087773e-05,4.065888132209937e-05,3.580072346447718e-05,3.651868365479727e-05,4.204585382941935e-05,3.797371252201105e-05,4.1440233512143097e-05,4.563974222358271e-05,4.870475173311952e-05,4.378254220167423e-05,3.786072603290567e-05,3.75904508770203e-05,0.0,4.173408561264098e-05,0.0,4.8434450607399115e-05
5,3.531215611215043e-05,3.628100185851087e-05,3.612821973191257e-05,3.413542595384098e-05,3.110184616582011e-05,3.1464054782828124e-05,3.425113364428923e-05,3.45909345883478e-05,3.876677058146398e-05,3.965893558614808e-05,3.8185948424806004e-05,3.864426907500894e-05,3.8799805480792016e-05,3.8891283221163445e-05,3.745626028684409e-05,3.888603352039311e-05,4.492712668185859e-05,4.442765515142365e-05,3.878651078403597e-05,0.0,3.334731797371757e-05,3.8627918425099916e-05,3.936713109813186e-05,3.7960961248934416e-05
6,3.442518337858025e-05,3.559926397467344e-05,3.7214430229601585e-05,3.720349583522587e-05,3.886896030428233e-05,3.763019329068877e-05,3.7490594690149455e-05,3.68187526807436e-05,3.913732158338934e-05,3.869734238112813e-05,4.1933402430895506e-05,4.477443578861297e-05,4.3335492630343295e-05,4.3537533513619574e-05,3.984073507872041e-05,3.88788931448875e-05,4.35837149534599e-05,4.0768629087157834e-05,4.9724158423597734e-05,4.2351975675913246e-05,4.2013736756921224e-05,4.563254709961089e-05,0.0,4.334445999081016e-05
7,3.207694629027053e-05,3.337859738955163e-05,3.1245744397410625e-05,3.188907769546971e-05,3.068785133415646e-05,3.140083328424823e-05,2.8764542958308984e-05,2.903315164562531e-05,3.5049570911622715e-05,3.504501471644672e-05,3.253640205600733e-05,3.32490598948585e-05,3.3763065063068e-05,3.381241170122632e-05,3.005921014676634e-05,3.469121131074107e-05,3.4268391342990794e-05,0.0,3.440024674668608e-05,3.4882938025914134e-05,3.866838422378985e-05,3.678930629190107e-05,3.522121935497837e-05,3.2742726954891966e-05
8,3.341328027392093e-05,3.239240184848922e-05,2.9814329666889374e-05,2.9614101887190275e-05,2.8016324664285515e-05,2.998984447364043e-05,2.9647001007662872e-05,3.368865303530386e-05,3.911622611760095e-05,3.713390050542373e-05,3.423432454323668e-05,3.1995075111394624e-05,3.209857388698897e-05,3.3628418999436476e-05,3.538472807252902e-05,3.679772716022008e-05,4.271796461107891e-05,4.0503905044983044e-05,3.603488338465678e-05,3.195867238805529e-05,3.2318078340311964e-05,3.291252102967491e-05,3.713567271574077e-05,3.733157207920297e-05
9,2.6983616024750642e-05,3.422863644839166e-05,3.1317641650017236e-05,3.2053991982784475e-05,3.4847573892213306e-05,2.8211006371608317e-05,2.5308277682586837e-05,2.7430625854744115e-05,3.106055423124408e-05,3.116155763788162e-05,3.989815345083871e-05,3.969667137152163e-05,3.8927875414501585e-05,3.0018608216579416e-05,2.921880152284029e-05,2.8057610954585045e-05,3.0293181035119952e-05,3.151451643496869e-05,3.20914727400516e-05,3.102126451125435e-05,2.9553864340839593e-05,2.718023650651917e-05,3.0339541216906e-05,2.9049248645691472e-05
