,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,1.7568089899184497e-05,2.058874455909418e-05,1.8145300026148297e-05,1.9634764997259077e-05,2.0796205131558883e-05,2.0271587122187083e-05,1.896631180705311e-05,1.9197098235123225e-05,2.3328480787750196e-05,2.5642572183823308e-05,2.1406086283112082e-05,2.1666209031190735e-05,2.2019565751304312e-05,2.3217326273718314e-05,2.2126125769401683e-05,2.3141822702196154e-05,3.915546456266007e-05,2.734077944273879e-05,2.4632960053043314e-05,2.5491873738252723e-05,2.6865106078397125e-05,2.889092291290202e-05,3.206715277994754e-05,3.795139825537835e-05
1,2.1840053159598737e-05,2.233290189689502e-05,2.2380469866059525e-05,1.979346453907722e-05,2.1346785489063304e-05,1.8444754093034986e-05,1.994373068405098e-05,1.9006952737190617e-05,2.4853530163253363e-05,2.6569835695192496e-05,2.5056854042160575e-05,2.425563500330413e-05,2.6217476153561746e-05,2.1644316473939656e-05,2.579741195624458e-05,2.5343903172378826e-05,2.65971925998525e-05,2.5962654574791075e-05,2.7170669079575156e-05,2.7390074622426592e-05,2.6472079578481984e-05,2.4861925672761216e-05,2.1809134984404975e-05,3.01026284691645e-05
2,2.0132099740258333e-05,1.6455841117796823e-05,1.8048431721348345e-05,1.8063528900679624e-05,1.8894373202058225e-05,1.9804947148972403e-05,1.9652982518165023e-05,1.8661373500904927e-05,2.852773589061062e-05,1.988818967592088e-05,2.073594109162584e-05,2.2809564377705616e-05,2.1747135840944555e-05,2.350464725056022e-05,2.4162650094219877e-05,2.3405084763901004e-05,2.7462170980468362e-05,2.2859446288389148e-05,1.8827018677265875e-05,2.0471363904713506e-05,0.0,0.0,2.737677063835972e-05,3.239727274607437e-05
3,1.8444762070741725e-05,1.7416999500688222e-05,2.1192693742668214e-05,1.6436428853042003e-05,2.0454016076776454e-05,1.642936537375247e-05,1.7688394339295126e-05,1.850101828970728e-05,2.411213526795028e-05,1.9657590999346285e-05,2.8496253379410843e-05,2.3162912624981086e-05,2.4280010465667058e-05,2.0897513982569915e-05,2.1571711802339815e-05,2.119460777939487e-05,3.741364967635098e-05,3.855135160841047e-05,3.645394260389538e-05,2.3459088241600367e-05,2.3654252235485703e-05,2.5320660758585394e-05,2.435234528807458e-05,3.0557670232963177e-05
4,1.9275259196805537e-05,1.8707002105239376e-05,1.9579459592785094e-05,1.94833404248203e-05,1.775962950737891e-05,1.7420780125180302e-05,1.680993431308356e-05,1.9165558090028164e-05,2.3517453059444726e-05,2.06792838381909e-05,2.2040718465480413e-05,2.588519825910766e-05,2.049412355828493e-05,1.9862419354576733e-05,1.820582452900365e-05,2.071202875244207e-05,3.0176389999345542e-05,2.887735798481252e-05,2.7189996224537228e-05,2.251313276707616e-05,2.1747980424476868e-05,0.0,2.0669820077140054e-05,2.3242829206049258e-05
5,1.537142066147697e-05,1.7134512768241515e-05,1.7229499999775284e-05,1.7535029592519757e-05,2.2338298051470425e-05,2.1142649109362322e-05,1.7644890574912493e-05,1.8415267914977244e-05,2.269758823565226e-05,2.4429652778349647e-05,1.9942180376260816e-05,2.0726260635152523e-05,2.4862428175062202e-05,2.5229826915030606e-05,2.2332974887660056e-05,2.5050307931168075e-05,2.88048518576506e-05,2.4163785934485348e-05,2.3513037089710735e-05,2.2592108608677193e-05,2.3321660089856577e-05,3.4967382743761997e-05,3.779808143582792e-05,3.228047864123172e-05
6,1.7116780034005724e-05,2.0510883539505287e-05,1.855485381653765e-05,2.040706955038965e-05,2.1269640999515795e-05,2.0698084892331907e-05,2.0145906002623443e-05,1.9834792860980897e-05,2.583892804631089e-05,2.7980580666852624e-05,2.2481700120583138e-05,2.4224183830734025e-05,2.314564473392756e-05,2.5541116453999084e-05,2.6208397643310325e-05,3.091315814241912e-05,3.2599413727617416e-05,2.870675260725699e-05,2.3323270000290802e-05,2.576585880588455e-05,2.801797071165325e-05,2.805164052914634e-05,2.8397390443091886e-05,2.9567897210954515e-05
7,1.742951876522831e-05,1.9955640107073898e-05,1.9843924134974785e-05,2.1387373212411046e-05,2.1397920575808537e-05,2.0391915320037506e-05,1.924997914771e-05,1.9263774340003273e-05,2.283184865821078e-05,2.3593832656605784e-05,2.1421398602617822e-05,2.3985443408744168e-05,2.2937015119710816e-05,2.3075674319387256e-05,2.7229756176003517e-05,2.072517322261687e-05,2.5899317388272515e-05,2.5237282086558494e-05,2.2686376159304354e-05,2.3152478114003576e-05,2.520572437527319e-05,2.8430204640473655e-05,2.3890191932458147e-05,2.389264988778613e-05
8,1.675524169487749e-05,1.834688324484237e-05,1.9357871817726367e-05,2.1679789608730404e-05,2.1561946302958735e-05,2.0557335102929024e-05,1.884540666386426e-05,1.8411466814211256e-05,2.2839654396774314e-05,2.082519426124521e-05,2.0067427819178537e-05,2.252210316006603e-05,2.565268260313548e-05,2.192436503673399e-05,2.057377191491661e-05,2.5962023432184524e-05,2.4187701205849686e-05,2.1416818869523143e-05,2.3185803214065337e-05,2.6659784556280883e-05,2.53750606618812e-05,3.0269314041735773e-05,2.4604636673449062e-05,2.5385764912771406e-05
9,2.1453385261975435e-05,1.8353939561112274e-05,1.8989435939443646e-05,1.8447541499303477e-05,1.973308106015777e-05,1.984929759633935e-05,1.9798018543028765e-05,2.1407972799703883e-05,2.5749125888075325e-05,2.557276770698591e-05,2.218785846066213e-05,2.3637248513756168e-05,2.2941543265485128e-05,2.3202569938291056e-05,2.245178881190931e-05,2.4872188353136597e-05,2.71916659095097e-05,2.217622001999008e-05,2.238677428739474e-05,2.4203575110682634e-05,2.3169001525804332e-05,2.250142012590828e-05,2.412855644623659e-05,2.9559534767084462e-05
