,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,1.9823491286462357e-06,2.3329274949080635e-06,1.1456155845478716e-06,6.770206804912977e-07,1.2647394842856303e-06,4.781033359649168e-07,2.407678940555866e-06,2.4805973295892266e-06,8.775840370688158e-06,1.0624981639344442e-05,9.813347878978409e-06,9.444276820325593e-06,1.3399889133791848e-05,7.558542313669745e-06,8.074019170456339e-06,7.648583956963822e-06,8.94368738988428e-06,1.0706110326622692e-05,1.0576474416951724e-05,1.1941681321989449e-05,1.2131829735021638e-05,9.740388693060653e-06,8.586514276074661e-06,8.536729704145806e-06
1,1.6686370599186386e-06,8.937229867006009e-07,3.01598286089408e-07,1.2822020524928343e-06,1.2530441351748755e-06,8.789653987596742e-07,1.2290141660544593e-06,2.1932219721537294e-06,7.816244779882396e-06,7.174836614915274e-06,3.800618849508911e-06,5.302162046023799e-06,4.66837818029514e-06,4.7381636994697665e-06,5.73102717226016e-06,6.664759994740542e-06,8.856656114528659e-06,7.443130944394609e-06,4.102784221739571e-06,6.032751896798811e-06,5.171583556695514e-06,4.949212039393375e-06,5.907913268384107e-06,7.141788570112681e-06
2,2.2242097586926225e-06,7.741544075706453e-07,1.1534747662714406e-06,1.3229332816139807e-06,1.4767479226851537e-06,1.6227049076518552e-06,1.9727587668167627e-06,7.423134972495633e-07,9.611687616005893e-06,5.544854742138469e-06,6.533009635868737e-06,5.792319824366434e-06,5.810122853536033e-06,6.911593271282487e-06,9.199522169312365e-06,6.7140065987344724e-06,1.1047925004710955e-05,7.107464543765925e-06,6.921289714034775e-06,6.672823784824296e-06,6.217696666739028e-06,7.5824630208887425e-06,9.567309677875782e-06,8.063763572553426e-06
3,4.377844420703492e-06,2.0275870609488323e-06,2.100849286231409e-06,9.190230213098909e-07,1.5144556025784606e-06,2.213847047203772e-06,1.868428667053245e-06,3.281683659431446e-06,1.1526959557781637e-05,1.0720976975896893e-05,9.913465713222953e-06,8.817668781567706e-06,8.68163589656274e-06,7.855068064737469e-06,7.705898953804227e-06,8.505839733794043e-06,1.1932711009919542e-05,1.1930384577958035e-05,9.883054520529789e-06,9.65082556960853e-06,9.356930976160734e-06,9.355638839630045e-06,8.426135803880133e-06,8.52698699502483e-06
4,2.424121047259019e-06,1.2629638212584371e-06,1.7630992212145392e-06,1.8109348689959222e-06,2.1022618538833404e-06,2.1681634314182664e-06,1.1060201868430492e-06,1.971580152183349e-06,1.0897885303930153e-05,9.696819741663447e-06,7.429724028583316e-06,7.503377433911587e-06,8.085894192016459e-06,9.063275204223772e-06,8.349436727656388e-06,9.86161928938416e-06,1.2257958370205979e-05,1.0417763161615112e-05,7.787889704380509e-06,7.2701155821459845e-06,8.29021219909192e-06,9.185584882064871e-06,8.873270432396362e-06,1.166655994758454e-05
5,2.7672683534794283e-06,2.4990028840483126e-06,1.5089022597485132e-06,2.081550249594316e-06,2.290693656571831e-06,9.479448535122753e-07,1.6598212408158193e-06,1.6869878998710238e-06,9.628336560983696e-06,7.2478720285222876e-06,7.464021322221595e-06,9.467532686600433e-06,8.445232778672812e-06,8.478346133386478e-06,1.0239353443636954e-05,1.1667691408049209e-05,1.082581370424052e-05,8.032550517657818e-06,7.752733654916135e-06,1.0021515474751098e-05,8.72486607231867e-06,9.474577960399127e-06,1.1417026326065515e-05,1.342385798705835e-05
6,2.6503982113994815e-06,1.9013516577045575e-06,7.222322302239029e-07,1.3483168533570889e-06,7.626390883860729e-07,5.758562590796702e-07,1.2184795887968923e-06,2.1622567599927467e-06,7.311455862530199e-06,7.977343696167597e-06,6.462042259715976e-06,5.9589965194355865e-06,6.0365479811968e-06,4.903612386459818e-06,5.237747897465935e-06,6.340737890418119e-06,7.624680550545365e-06,8.296672673318099e-06,7.899704700237427e-06,6.578364780012985e-06,6.84657236748892e-06,5.8652008841168825e-06,5.8256216477796125e-06,6.632398765180611e-06
7,1.989455458261317e-06,1.7613542130811358e-06,1.424280235263089e-06,1.5646261644196272e-06,1.7143700384564995e-06,1.0578046829731014e-06,1.2574448133236507e-06,1.9035715007146904e-06,7.40706406931258e-06,5.394090964411982e-06,5.755096401915325e-06,7.765618616714736e-06,7.962050300841611e-06,7.757620746423365e-06,1.0381509940387642e-05,9.57485050401872e-06,7.568734510622679e-06,6.108971868585665e-06,6.217068211168395e-06,8.674524704559568e-06,8.931238361339013e-06,8.38651604498453e-06,1.087611842728351e-05,1.00081827574526e-05
8,1.7534038573450987e-06,1.3741457749381442e-06,1.6047725526946103e-06,1.1687449303723333e-06,1.4293007575897328e-06,1.385814204854619e-06,1.4824367865790057e-06,1.294205182957761e-06,7.448157108748604e-06,6.3429652069459e-06,4.450735776022575e-06,4.501357493600581e-06,4.771255003325648e-06,5.197800946833163e-06,6.843454987816307e-06,6.699224378124729e-06,8.361268956798412e-06,6.5553306641467874e-06,4.59867153449046e-06,4.713679135945916e-06,5.070927581407381e-06,5.303209111652989e-06,6.934084794837757e-06,7.107045737457048e-06
9,2.1532372842037653e-06,2.068460276379466e-06,2.9098781584437915e-06,4.26162671000808e-06,3.635660179178897e-06,1.8935293348919198e-06,3.1383078963505687e-06,2.0819082134019027e-06,1.044986789032869e-05,8.5729296243055e-06,9.065869859659558e-06,1.0260540327911227e-05,1.0675755342270826e-05,1.1581807489453056e-05,1.0860086384882521e-05,9.641978766954068e-06,1.1454109616834121e-05,8.943239983249578e-06,9.519127181420402e-06,1.066820680674036e-05,1.1206936736324934e-05,1.0986515468169072e-05,1.2311705988970427e-05,1.172833163050109e-05
