,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,4.075817866324433e-06,2.5924814772935602e-06,1.814185031895904e-06,1.9259021666118196e-06,2.2883592678278397e-06,2.0787196409960013e-06,2.4531552975791283e-06,2.695108857942982e-06,7.869389773080377e-06,8.705191170909588e-06,9.430171789478243e-06,1.063071745860785e-05,9.566736129546254e-06,9.940127180648985e-06,1.0481669832729654e-05,9.268590155082125e-06,8.075112108468874e-06,9.555576577169238e-06,9.649455516439124e-06,1.0508306813442704e-05,9.466180538157187e-06,9.395904485353636e-06,1.0384516825596853e-05,9.769333255609739e-06
1,2.497616013473511e-06,2.0221970315210936e-06,2.0021719192823046e-06,2.1758044313383004e-06,1.8509145835116236e-06,3.1757411098350918e-06,4.8518925802002046e-06,2.4899045521657894e-06,8.748119947746402e-06,8.863779990814317e-06,7.905956111242453e-06,8.621968633322165e-06,9.373788094928536e-06,9.565668087448501e-06,1.0886653588293003e-05,8.620658530387665e-06,8.92956420891418e-06,8.816159641334636e-06,7.685183777224355e-06,8.668753068565449e-06,9.457708237058023e-06,1.0060439192675363e-05,1.050672973046073e-05,8.628196871224866e-06
2,3.0806549781652993e-06,4.14435175924464e-06,2.855218068249193e-06,3.3487347556568353e-06,2.260985095220055e-06,2.6673505527861684e-06,4.019651353119158e-06,3.874478882847969e-06,1.1084258826115555e-05,1.2642046325352546e-05,1.1203532619012577e-05,1.1152290316456635e-05,1.1326525985718642e-05,1.0330332088846659e-05,1.0785587771513358e-05,9.792953324447336e-06,1.2612389992650979e-05,1.2696612131804745e-05,1.133115823809372e-05,1.0995649508883731e-05,1.0930822781622172e-05,1.0862990551464536e-05,1.0832389389808092e-05,1.0246984069827406e-05
3,3.4119636719049985e-06,2.291058461803844e-06,1.3529739944086336e-06,1.4664827813153954e-06,1.920056144057177e-06,2.2096702625130615e-06,1.988621039633308e-06,2.655284617279957e-06,1.0558326551258296e-05,1.0820159700004726e-05,1.0040803774811283e-05,9.82542998856821e-06,9.692231210001904e-06,1.1109392427352758e-05,1.1040711981805485e-05,1.3840615731479364e-05,1.152884013678416e-05,1.0906231630156187e-05,1.078959415459138e-05,1.0303458870786508e-05,1.0146950181031413e-05,1.144926212148995e-05,1.1959618138147464e-05,1.5443473107913185e-05
4,8.009321499358596e-06,2.5969573982241386e-06,3.778158764727085e-06,6.2828786134816516e-06,3.865598052132843e-06,2.9702986424527786e-06,2.721561867633132e-06,7.572135396747029e-06,1.920512507400986e-05,1.7459255175891254e-05,1.6636828605100988e-05,1.6799604531853155e-05,1.7114059935381943e-05,1.6411269409870737e-05,1.4060045953341207e-05,1.8270846446958927e-05,2.129151902951958e-05,1.7934715360168174e-05,1.7018529637624135e-05,1.6743947405944964e-05,1.858214778530228e-05,1.7523220583039784e-05,1.4490918722173255e-05,1.7426088055017795e-05
5,4.431963940909178e-06,4.806683223562944e-06,1.4591474273353964e-06,2.799131632991595e-06,3.0064947049252062e-06,3.0624770027253716e-06,2.7348147015913564e-06,2.162374692350955e-06,1.1797328908660086e-05,1.2076964511840532e-05,1.1833317411579605e-05,1.2183177578458703e-05,1.1808583944512485e-05,1.4466375406430775e-05,1.3581088127060665e-05,1.2022526450285349e-05,1.2791141637743343e-05,1.1893431579170121e-05,1.2761785142962191e-05,1.1535865672445039e-05,1.2840372885844085e-05,1.355162619011911e-05,1.3666841005634226e-05,1.1936463844962215e-05
6,5.8110570371610684e-06,4.045505470569696e-06,3.0596692443142724e-06,4.26304071634614e-06,4.377477817458318e-06,4.403482104314102e-06,5.165645934128455e-06,6.20384706908847e-06,1.4027558232507531e-05,1.4854310645003406e-05,1.7149258815641195e-05,1.7527162934869495e-05,1.6447449667591303e-05,1.4414644635797199e-05,1.549407202551962e-05,1.6121399603173997e-05,1.3532376076349954e-05,1.4711521708072764e-05,1.752908505242308e-05,1.8688304439188595e-05,1.6274877129595908e-05,1.542240108841223e-05,1.5730218847743076e-05,1.5160307770750148e-05
7,3.0490077845752893e-06,2.429197258594422e-06,1.309089498000109e-06,1.6876791837067606e-06,1.5985999078820775e-06,1.4504248893052473e-06,9.527374138773386e-07,2.2435903151535198e-06,7.917743531622462e-06,7.472505810145102e-06,7.895625943580025e-06,7.005858258275017e-06,5.922729224883379e-06,7.195511072156332e-06,8.552691479988884e-06,8.076813540895512e-06,8.581304797307288e-06,7.266278813693361e-06,8.140277291004364e-06,6.286136369533431e-06,6.0531143712755765e-06,6.887776548454928e-06,8.875099535099613e-06,8.709781038240341e-06
8,2.4534475790071456e-06,2.38576128016538e-06,2.140239896311783e-06,1.5524624833740613e-06,2.6098904512365598e-06,2.4037444385223436e-06,2.6234080317963263e-06,2.3187898289173677e-06,9.780167921810066e-06,9.797091269652432e-06,9.606215467866264e-06,1.0645341828401795e-05,1.1901826249991542e-05,1.3382128436080088e-05,1.0281422103065041e-05,1.1072643818097345e-05,1.0291815315442288e-05,9.908026434393693e-06,9.966245554706069e-06,1.1379632852915646e-05,1.2198125977664963e-05,1.4348826648662097e-05,1.0198123928280565e-05,1.065303239476263e-05
9,3.186936466472934e-06,2.7025462469583295e-06,2.596104685938788e-06,2.405419125807411e-06,2.3931385779515836e-06,3.8118785003063754e-06,2.8750748321996753e-06,4.661472769381343e-06,1.0717039089867794e-05,1.1187488641095598e-05,1.0906172482752245e-05,9.64722116830093e-06,1.2856593836333863e-05,1.2360557081121398e-05,1.0675106415753212e-05,1.0812478148091937e-05,1.1252983573988188e-05,1.1357443458033839e-05,1.1088126764697727e-05,9.614276666623354e-06,1.2713039428412312e-05,1.2884520001425805e-05,1.1443330186755323e-05,1.1079889261015424e-05
