,Gene,Image,MTOC,MTOC leading edge,Non MTOC1,Non MTOC2,Non MTOC3,timepoint
10_1,arhgdia,10,0.0,,3.9953890864221586,0.0,0.0,3h
10_2,arhgdia,10,0.0,,4.038764842487055,0.0,0.0,3h
10_3,arhgdia,10,0.0,,3.9764086157028125,0.0,0.0,3h
10_4,arhgdia,10,0.0,,3.870677519562738,0.0,0.0,3h
10_5,arhgdia,10,0.0,,3.787484224459014,0.0,0.0,3h
10_6,arhgdia,10,0.0,,3.761950622945807,0.0,0.0,3h
10_7,arhgdia,10,0.0,,3.761950622945807,0.0,0.0,3h
10_8,arhgdia,10,0.0,,3.7577284561411544,0.0,0.0,3h
10_9,arhgdia,10,0.0,,0.0,1.0548632811662786,0.0,3h
10_10,arhgdia,10,0.0,,0.0,1.0727766915801886,0.0,3h
10_11,arhgdia,10,0.0,,0.0,1.0902429353375995,0.0,3h
10_12,arhgdia,10,0.0,,0.0,1.107554103348253,0.0,3h
10_13,arhgdia,10,0.0,,0.0,1.1258023047820338,0.0,3h
10_14,arhgdia,10,0.0,,0.0,1.1442706952911035,0.0,3h
10_15,arhgdia,10,0.0,,0.0,1.160130302987446,0.0,3h
10_16,arhgdia,10,0.0,,0.0,1.1710864128792475,0.0,3h
10_17,arhgdia,10,0.0,,1.1872822888020456,0.0,0.0,3h
10_18,arhgdia,10,1.196617603438802,,0.0,0.0,0.0,3h
10_19,arhgdia,10,1.196617603438802,,0.0,0.0,0.0,3h
10_20,arhgdia,10,1.2056665662303812,,0.0,0.0,0.0,3h
10_21,arhgdia,10,1.215735676986844,,0.0,0.0,0.0,3h
10_22,arhgdia,10,1.2246291347555847,,0.0,0.0,0.0,3h
10_23,arhgdia,10,1.2345634418959326,,0.0,0.0,0.0,3h
10_24,arhgdia,10,1.2418902279012494,,0.0,0.0,0.0,3h
10_25,arhgdia,10,1.2488385133986455,,0.0,0.0,0.0,3h
10_26,arhgdia,10,1.2577520865596425,,0.0,0.0,0.0,3h
10_27,arhgdia,10,1.263447567706328,,0.0,0.0,0.0,3h
10_28,arhgdia,10,1.270157835516604,,0.0,0.0,0.0,3h
10_29,arhgdia,10,1.2754804016844834,,0.0,0.0,0.0,3h
10_30,arhgdia,10,1.2808477637420692,,0.0,0.0,0.0,3h
10_31,arhgdia,10,1.2847797599469566,,0.0,0.0,0.0,3h
10_32,arhgdia,10,1.2877446363160647,,0.0,0.0,0.0,3h
10_33,arhgdia,10,1.292716623328868,,0.0,0.0,0.0,3h
10_34,arhgdia,10,1.2977271528766543,,0.0,0.0,0.0,3h
10_35,arhgdia,10,1.3037912984508446,,0.0,0.0,0.0,3h
10_36,arhgdia,10,1.3104250702237843,,0.0,0.0,0.0,3h
10_37,arhgdia,10,1.316091216360758,,0.0,0.0,0.0,3h
10_38,arhgdia,10,1.3218065749789847,,0.0,0.0,0.0,3h
10_39,arhgdia,10,1.3291528600324607,,0.0,0.0,0.0,3h
10_40,arhgdia,10,1.3291528600324607,,0.0,0.0,0.0,3h
10_41,arhgdia,10,1.3339187467815812,,0.0,0.0,0.0,3h
10_42,arhgdia,10,1.3419382983654384,,0.0,0.0,0.0,3h
10_43,arhgdia,10,1.3484237029487591,,0.0,0.0,0.0,3h
10_44,arhgdia,10,1.353876285653768,,0.0,0.0,0.0,3h
10_45,arhgdia,10,1.3638028734915553,,0.0,0.0,0.0,3h
10_46,arhgdia,10,1.3638028734915553,,0.0,0.0,0.0,3h
10_47,arhgdia,10,1.3738760994754897,,0.0,0.0,0.0,3h
10_48,arhgdia,10,1.3801055459281817,,0.0,0.0,0.0,3h
10_49,arhgdia,10,1.3881161087984115,,0.0,0.0,0.0,3h
10_50,arhgdia,10,1.3944756578183126,,0.0,0.0,0.0,3h
10_51,arhgdia,10,1.3979691250195276,,0.0,0.0,0.0,3h
10_52,arhgdia,10,1.4050088352588201,,0.0,0.0,0.0,3h
10_53,arhgdia,10,1.4169005731789117,,0.0,0.0,0.0,3h
10_54,arhgdia,10,1.4253452764673347,,0.0,0.0,0.0,3h
10_55,arhgdia,10,1.4302161701929812,,0.0,0.0,0.0,3h
10_56,arhgdia,10,1.4363518036987424,,0.0,0.0,0.0,3h
10_57,arhgdia,10,1.4481557328813879,,0.0,0.0,0.0,3h
10_58,arhgdia,10,1.4595187682745285,,0.0,0.0,0.0,3h
10_59,arhgdia,10,1.4595187682745285,,0.0,0.0,0.0,3h
10_60,arhgdia,10,1.4730031035731495,,0.0,0.0,0.0,3h
10_61,arhgdia,10,1.4854197224586374,,0.0,0.0,0.0,3h
10_62,arhgdia,10,1.4854197224586374,,0.0,0.0,0.0,3h
10_63,arhgdia,10,1.5014063024312865,,0.0,0.0,0.0,3h
10_64,arhgdia,10,1.5095293302172086,,0.0,0.0,0.0,3h
10_65,arhgdia,10,1.5184290496243849,,0.0,0.0,0.0,3h
10_66,arhgdia,10,1.5407897167150337,,0.0,0.0,0.0,3h
10_67,arhgdia,10,1.551499561826584,,0.0,0.0,0.0,3h
10_68,arhgdia,10,1.5601752350520823,,0.0,0.0,0.0,3h
10_69,arhgdia,10,1.5905634462811253,,0.0,0.0,0.0,3h
10_70,arhgdia,10,1.615895779161085,,0.0,0.0,0.0,3h
10_71,arhgdia,10,1.6436603114490764,,0.0,0.0,0.0,3h
10_72,arhgdia,10,1.6935437806888054,,0.0,0.0,0.0,3h
10_73,arhgdia,10,1.8058986269804578,,0.0,0.0,0.0,3h
10_74,arhgdia,10,1.8662965743711082,,0.0,0.0,0.0,3h
10_75,arhgdia,10,1.9953135008472995,,0.0,0.0,0.0,3h
10_76,arhgdia,10,1.9953135008472995,,0.0,0.0,0.0,3h
10_77,arhgdia,10,2.1755270009238266,,0.0,0.0,0.0,3h
10_78,arhgdia,10,2.3234809537972025,,0.0,0.0,0.0,3h
10_79,arhgdia,10,2.6177764303532203,,0.0,0.0,0.0,3h
10_80,arhgdia,10,2.764769656830527,,0.0,0.0,0.0,3h
10_81,arhgdia,10,2.808838971830343,,0.0,0.0,0.0,3h
10_82,arhgdia,10,2.942123070669392,,0.0,0.0,0.0,3h
10_83,arhgdia,10,3.071684453597953,,0.0,0.0,0.0,3h
10_84,arhgdia,10,3.292169178389153,,0.0,0.0,0.0,3h
10_85,arhgdia,10,3.4552487661731357,,0.0,0.0,0.0,3h
10_86,arhgdia,10,3.6873745092750756,,0.0,0.0,0.0,3h
10_87,arhgdia,10,3.7577284561411544,,0.0,0.0,0.0,3h
10_88,arhgdia,10,3.870677519562738,,0.0,0.0,0.0,3h
10_89,arhgdia,10,3.9622911886648153,,0.0,0.0,0.0,3h
10_90,arhgdia,10,3.9716916422559536,,0.0,0.0,0.0,3h
11_1,arhgdia,11,0.0,,1.5937333688131987,3.0464140386571725,0.0,3h
11_2,arhgdia,11,0.0,,1.5752893214097845,3.112915800415801,0.0,3h
11_3,arhgdia,11,0.0,,1.5752893214097845,3.112915800415801,0.0,3h
11_4,arhgdia,11,0.0,,1.5588885996876627,3.185771276595745,0.0,3h
11_5,arhgdia,11,0.0,,1.5588885996876627,3.185771276595745,0.0,3h
11_6,arhgdia,11,0.0,,1.5484100310237852,3.2269665948275863,0.0,3h
11_7,arhgdia,11,0.0,,1.5317774936061384,3.319983370288249,0.0,3h
11_8,arhgdia,11,0.0,,1.5317774936061384,3.319983370288249,0.0,3h
11_9,arhgdia,11,0.0,,1.5139661274014158,3.3991203178206586,0.0,3h
11_10,arhgdia,11,0.0,,1.5048366834170857,3.430269186712486,0.0,3h
11_11,arhgdia,11,0.0,,1.4958166833166835,3.4619942196531794,0.0,3h
11_12,arhgdia,11,0.0,,1.4846926127912743,3.5148180751173714,0.0,3h
11_13,arhgdia,11,0.0,,1.4715601965601968,3.565029761904763,0.0,3h
11_14,arhgdia,11,0.0,,1.4715601965601968,3.565029761904763,0.0,3h
11_15,arhgdia,11,0.0,,1.4622192382812502,3.5993088942307696,0.0,3h
11_16,arhgdia,11,0.0,,1.448778422835027,3.6342536407766994,0.0,3h
11_17,arhgdia,11,0.0,,1.448778422835027,3.6342536407766994,0.0,3h
11_18,arhgdia,11,0.0,,1.441803081367357,3.6475334957369068,0.0,3h
11_19,arhgdia,11,0.0,,1.4239776509747981,3.6698835784313735,0.0,3h
11_20,arhgdia,11,0.0,,1.4239776509747981,3.6698835784313735,0.0,3h
11_21,arhgdia,11,0.0,,1.4112276154571162,3.660910757946211,0.0,3h
11_22,arhgdia,11,0.0,,1.3993574766355141,3.656440781440782,0.0,3h
11_23,arhgdia,11,0.0,,1.39155436802974,3.625453995157385,0.0,3h
11_24,arhgdia,11,0.0,,1.39155436802974,3.625453995157385,0.0,3h
11_25,arhgdia,11,0.0,,1.3883286972647197,3.5820873205741632,0.0,3h
11_26,arhgdia,11,0.0,,1.381284594095941,3.510697538100821,0.0,3h
11_27,arhgdia,11,0.0,,1.3768390804597705,3.470017381228274,0.0,3h
11_28,arhgdia,11,0.0,,1.3768390804597705,3.470017381228274,0.0,3h
11_29,arhgdia,11,0.0,,1.3711652930402933,3.3991203178206586,0.0,3h
11_30,arhgdia,11,0.0,,1.3624317561419477,3.345949720670392,0.0,3h
11_31,arhgdia,11,0.0,,1.373051352590555,3.2200268817204307,0.0,3h
11_32,arhgdia,11,0.0,,1.373051352590555,3.2200268817204307,0.0,3h
11_33,arhgdia,11,0.0,,1.3844775774387426,3.1096832814122535,0.0,3h
11_34,arhgdia,11,0.0,,1.3980508870214756,2.991633366633367,0.0,3h
11_35,arhgdia,11,0.0,,1.4199265054528214,2.8520238095238097,0.0,3h
11_36,arhgdia,11,0.0,,1.4199265054528214,2.8520238095238097,0.0,3h
11_37,arhgdia,11,0.0,,1.4404160654160658,2.7248635122838953,0.0,3h
11_38,arhgdia,11,0.0,,1.4607926829268294,2.606288076588338,0.0,3h
11_39,arhgdia,11,0.0,,1.4839568880079288,2.493442964196503,0.0,3h
11_40,arhgdia,11,0.0,,1.4839568880079288,2.491368552412646,0.0,3h
11_41,arhgdia,11,0.0,,1.5178028383172837,2.3654225908372832,0.0,3h
11_42,arhgdia,11,0.0,,1.5224326385358415,2.3124517374517377,0.0,3h
11_43,arhgdia,11,1.5147319170460294,,2.287719633307869,0.0,0.0,3h
11_44,arhgdia,11,2.238135276532138,,0.0,0.0,1.5232070193285863,3h
11_45,arhgdia,11,2.238135276532138,,0.0,0.0,1.5232070193285863,3h
11_46,arhgdia,11,2.20031227038942,,0.0,0.0,1.5263124362895009,3h
11_47,arhgdia,11,2.163746387283237,,0.0,0.0,1.5247581466395115,3h
11_48,arhgdia,11,2.131405693950178,,0.0,0.0,1.5239821882951656,3h
11_49,arhgdia,11,2.131405693950178,,0.0,0.0,1.5239821882951656,3h
