,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,1.5240272714828115e-05,5.158713488182646e-06,1.0169804303386036e-05,6.553082574544177e-06,8.34287757614754e-06,8.493615294859488e-06,1.1890965929231555e-05,1.545958356181707e-05,6.120388975537555e-05,6.162276914272217e-05,5.569480396122489e-05,5.53911489530156e-05,5.6259533565658844e-05,5.926496612236162e-05,6.055026010973296e-05,6.40293226859046e-05,6.165475162823542e-05,6.0832343090913416e-05,5.642794507223691e-05,5.7040137498932016e-05,5.65680147752165e-05,5.947108411351929e-05,6.145107408383105e-05,6.373363232164475e-05
1,2.067711512897862e-05,1.8882220939543197e-05,7.022544682552457e-06,5.051229136154702e-06,9.279453217822987e-06,1.0987415227576908e-05,2.1152133405819615e-05,1.875880653658377e-05,7.69142299827138e-05,7.058463031420342e-05,6.509039199465466e-05,6.755735862565567e-05,6.527883661938803e-05,6.595757720414467e-05,6.959913965318192e-05,7.479306685210388e-05,7.681614960227616e-05,7.003612588979492e-05,6.555767328185707e-05,6.756011943084401e-05,6.48945900437923e-05,6.627463254471138e-05,7.005270975032753e-05,7.501390101576612e-05
2,2.3940433718107203e-05,1.2517602324075365e-05,4.71521989494131e-06,3.628932705265434e-06,5.774807525160157e-06,1.2289749363572092e-05,1.1783674833725435e-05,2.855433681961364e-05,7.845629436364458e-05,7.532618988763448e-05,7.258879475454907e-05,0.0,6.498145611509354e-05,6.391964151866914e-05,7.078876035975754e-05,7.660929069082408e-05,7.858627074928425e-05,7.58321441932108e-05,7.221351288717958e-05,0.0,6.531025932572548e-05,6.391139142108596e-05,7.14151217992697e-05,7.582976107258459e-05
3,2.4936227670319632e-05,1.305780304599718e-05,9.450113600445588e-06,7.5387781042766316e-06,9.26343892304934e-06,1.2511638417499764e-05,1.4424155939095192e-05,1.4914043009661745e-05,6.898489792355227e-05,6.58337669700598e-05,6.099889317307006e-05,5.9566566544819005e-05,6.409726930015632e-05,6.831583652246531e-05,7.105185346670088e-05,7.156662891543615e-05,6.885857254332082e-05,6.626992511522073e-05,6.148308569616247e-05,6.108474866404817e-05,6.48037153381389e-05,6.812067859121719e-05,7.065055721292766e-05,7.145536157233429e-05
4,2.0737696439331906e-05,1.356775794573094e-05,3.775023852800683e-06,5.817053227124629e-06,1.764825031179118e-05,1.1710135667610904e-05,1.1313184591694391e-05,1.319725854621056e-05,7.392902068038681e-05,7.069522686890988e-05,6.587562206041976e-05,6.603843349687978e-05,6.381548569918309e-05,6.668726710204902e-05,7.022508792008864e-05,7.369504322871819e-05,7.562560248951608e-05,7.051485049600691e-05,6.852789369921237e-05,6.678184928369961e-05,6.405349865285206e-05,6.683968365101135e-05,7.083563134568612e-05,7.436790887404832e-05
5,1.8884557144803397e-05,1.864294754023228e-05,1.2183086423548465e-05,1.4151726104488988e-05,9.7350925252965e-06,6.9515604874973794e-06,1.656854405960977e-05,1.4692013932556835e-05,8.707659516573467e-05,9.132577882318412e-05,8.829383606344168e-05,8.517107723758453e-05,8.200109395682454e-05,7.637151774019083e-05,7.951331361539583e-05,8.753639238292586e-05,8.969443722018658e-05,9.294860897185303e-05,8.715031940822803e-05,8.511809620590568e-05,8.054073560832551e-05,7.710923615429901e-05,8.321590626208116e-05,8.723168184971801e-05
6,1.2760997471526391e-05,5.216689528079964e-06,4.317576049217302e-06,2.2271188097694563e-05,1.724297595411424e-05,1.6306017159240655e-05,1.655884938209055e-05,1.6898847046129187e-05,7.832957212203955e-05,7.411172938073515e-05,7.000788937451527e-05,6.763176504230474e-05,7.244497666776776e-05,7.997382691749379e-05,8.281359578956866e-05,8.138616093737104e-05,7.863242008376991e-05,7.3312503831944e-05,6.889174873394185e-05,7.17015572107917e-05,7.520414461509645e-05,8.078959571714884e-05,8.375192930653531e-05,8.202787619795433e-05
7,7.13342708249012e-06,8.342101102543825e-06,1.7723108935755523e-05,1.6211539873515177e-05,1.594945814669599e-05,1.4389805855634382e-05,1.0568453474962814e-05,1.187027500045382e-05,6.561787385701541e-05,6.960707780822233e-05,6.614795198748971e-05,6.859382929343995e-05,6.786954735258043e-05,6.298817002188138e-05,5.9885964750909253e-05,5.746444344566382e-05,6.294365731540437e-05,6.9490538079012e-05,6.601594390826244e-05,6.868950783847199e-05,6.737628542353245e-05,6.326261509188376e-05,5.9884887942227434e-05,5.688822458420656e-05
8,2.4236677055596327e-05,1.3064793052999138e-05,4.976313333977963e-06,5.303644488116348e-06,1.129736494434213e-05,8.59291783254481e-06,1.0589236285593725e-05,1.7687392089721908e-05,6.431568572701186e-05,6.211503181038606e-05,5.6913336618389666e-05,5.4330813627092576e-05,5.291972313846849e-05,5.6507738311738494e-05,5.995015185932959e-05,6.497981724494244e-05,6.692562609284388e-05,6.40409988147301e-05,5.8254643210432116e-05,5.5488838086005e-05,5.492560903141999e-05,5.5742273588045145e-05,6.0109893221633265e-05,6.470925264659332e-05
9,3.0192848301706317e-05,2.2343369115504396e-05,1.781412735733739e-05,2.081815110287045e-05,1.4533016057551547e-05,5.230916132407756e-06,1.2165973604365297e-05,1.650741232945471e-05,9.10965309123275e-05,7.583900128935537e-05,7.9939249353611e-05,8.599517997942526e-05,7.533424792623337e-05,6.418084473363922e-05,6.216964147969135e-05,6.823631056299439e-05,8.65173164660882e-05,7.781644366098603e-05,7.941120528191388e-05,8.139635645730741e-05,7.870122860265131e-05,6.501375630128123e-05,6.292302853297212e-05,6.489275853530426e-05
10,1.566143126045849e-05,1.2171427748222624e-05,5.665575190308296e-06,2.226448176388452e-06,4.096710127635316e-06,3.4397536888252996e-06,4.360117552109354e-06,1.4253705327758563e-05,3.824811963598652e-05,5.717908698040424e-05,3.722615026626294e-05,3.0418948267348137e-05,2.948879143151958e-05,3.218301348954379e-05,3.032457122588826e-05,3.427828303843193e-05,4.3676747054276153e-05,6.182583456045626e-05,3.88632375222622e-05,3.0652397006078176e-05,2.9379493829219377e-05,2.9855128246177154e-05,3.0085275774928458e-05,3.411151640431729e-05
11,1.3233247059223548e-05,1.7192711929234597e-05,1.738368291786027e-05,1.4394864254127426e-05,1.2034678949655334e-05,5.316290860567635e-06,4.061900364721274e-06,1.6106479830704088e-05,5.3306735517269134e-05,6.0410196294958484e-05,6.341227267200853e-05,6.27981833376357e-05,6.318176706213258e-05,5.8158432689439326e-05,5.810034011068532e-05,5.3117806728578084e-05,5.5494187625523795e-05,6.117525915802114e-05,6.394830397262453e-05,6.373875633822934e-05,6.261821495391459e-05,5.991611524802633e-05,5.9163764915518704e-05,5.348036942664185e-05
12,2.315034247789243e-05,2.243703798092562e-05,1.1100666700461055e-05,7.889045069160469e-06,5.693561315231103e-06,6.303457612188729e-06,6.340874071921431e-06,1.217970858652405e-05,7.915447716018877e-05,8.04508060522248e-05,7.783793176779594e-05,7.233796243262049e-05,6.997381356945859e-05,6.689036919353123e-05,6.593958321167789e-05,7.414278498083912e-05,7.979077475338994e-05,8.155482861543474e-05,7.798137334053577e-05,7.18544274197021e-05,7.509914012781817e-05,6.749601364155821e-05,6.987990175266387e-05,7.518423672415607e-05
13,2.3461140814588927e-05,2.1063491729981147e-05,1.0882434698586346e-05,7.633374917645547e-06,5.968273468770722e-06,5.272928423834563e-06,6.636002293327938e-06,1.30705504404281e-05,7.569774203287467e-05,7.881589188649227e-05,7.70904338474964e-05,7.243995746104139e-05,7.454890807144182e-05,6.96824639652318e-05,6.668781269170193e-05,7.269277700215126e-05,7.612304295759609e-05,7.972133032515599e-05,7.795176519662004e-05,7.340755245103137e-05,7.992908500278948e-05,7.08360652445858e-05,6.926470977220234e-05,7.239861544991876e-05
14,1.1285046635610265e-05,1.9439510521536505e-05,1.866867917288393e-05,1.491892759494496e-05,1.3659986562428362e-05,5.915375951447426e-06,1.1535763336319664e-05,9.30186828277701e-06,6.788085069344271e-05,7.393563678298805e-05,7.705570687178798e-05,7.620842545571687e-05,7.28874295012726e-05,7.059054155893496e-05,6.708609744954042e-05,6.389457261331336e-05,6.845745460016873e-05,7.362047575412674e-05,7.71712814028354e-05,7.60169203284659e-05,7.369779741955288e-05,6.741998537732005e-05,6.874602107562698e-05,6.482697282266291e-05
15,1.847013926722837e-05,1.0957787010494679e-05,2.450253094459603e-06,6.008226756254587e-06,8.459705187990386e-06,1.1989332779975719e-05,7.167368899640316e-06,8.653663106178431e-06,4.4727790354291745e-05,4.423920311648206e-05,4.3538331807950624e-05,3.922049091755291e-05,4.0957163099286526e-05,4.379965653929642e-05,4.4833405571773996e-05,4.52547016614548e-05,4.596990615438709e-05,4.556449839808169e-05,4.4453262932116566e-05,4.0527112568900754e-05,4.4031018174211795e-05,4.508423268074843e-05,4.546829675023071e-05,4.582594710246452e-05
16,1.6548318857600132e-05,8.430246039796911e-06,6.492116453323235e-06,6.117956568016787e-06,6.244731649135289e-06,9.232489522291827e-06,1.8744125630339853e-05,1.7769128915113616e-05,3.665518306896752e-05,3.4545012938845635e-05,3.4138117103600414e-05,3.742402713724801e-05,3.807518161782839e-05,3.9329411316037296e-05,4.0286049704699924e-05,3.897259113001643e-05,3.692193334715643e-05,3.441188596906319e-05,3.435729105242736e-05,3.969504879234618e-05,3.795086286405026e-05,3.979001143798456e-05,4.063657367743197e-05,3.910512908322619e-05
