,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,7.682958235660825e-06,3.1432908817025697e-06,5.133752380836605e-06,7.027231296558979e-06,9.059039389085524e-06,6.809991313680228e-06,7.731805827883826e-06,7.284212268815709e-06,2.1534722491856785e-05,2.199235363538939e-05,2.448405526852927e-05,2.7441040023345363e-05,2.8868436158304906e-05,2.7984112753104866e-05,2.6031110122523214e-05,2.371756365653922e-05,2.2122902772613927e-05,2.2735369233426913e-05,2.4666076278358874e-05,2.7249562863526068e-05,2.8539416904907368e-05,2.8088967095191028e-05,2.6287596880499867e-05,2.4317749450643564e-05
1,5.743730321795797e-06,6.6738191778040655e-06,6.341842690184387e-06,7.364430701623416e-06,3.3680098467575995e-06,4.432399849333791e-06,5.611704698972234e-06,6.623837593486349e-06,1.987378272665581e-05,2.1334876950516544e-05,2.0975999666410304e-05,1.9848531534293397e-05,1.8372618332122645e-05,1.6210486527601683e-05,1.6371195884005667e-05,1.744144293330085e-05,1.9914845664249815e-05,2.1173127465372593e-05,2.1197958954045617e-05,2.0062445075156823e-05,1.8443808948383248e-05,1.6618771861301083e-05,1.644016513466548e-05,1.7603383400133247e-05
2,8.06193549803633e-06,6.121009323934355e-06,4.103407657293988e-06,7.086961922612712e-06,6.052315949183544e-06,5.6358714938733184e-06,6.80037155904657e-06,1.2348833187722293e-05,2.6632075359981983e-05,2.5398459953369994e-05,2.6226888891623657e-05,2.7159308083410222e-05,2.978715627469177e-05,3.0465112987965007e-05,3.093099227784086e-05,2.900427799641998e-05,2.6910303252195072e-05,2.5235799909983552e-05,2.661331682650931e-05,2.733943261286357e-05,2.959383157210618e-05,3.0465709364483502e-05,3.104369523089689e-05,2.876601664842938e-05
3,8.556419938507452e-06,8.373508223569312e-06,2.9441792177025173e-06,6.103628926782931e-06,3.2515894598003414e-06,6.341724011413236e-06,5.80831239117953e-06,6.087544362371768e-06,2.804350694402786e-05,2.527701947071499e-05,2.3985137219950058e-05,2.243492943219595e-05,2.2744299805071137e-05,2.3098659064019717e-05,2.5857856137034388e-05,2.7683688386665083e-05,2.7595754935354115e-05,2.526436924860443e-05,2.4586814878229914e-05,2.2529814463607946e-05,2.3528649512594752e-05,2.3094045665080932e-05,2.615035245450282e-05,2.7684206091498825e-05
4,1.0680525008205654e-05,1.0314612033412384e-05,3.393653106405932e-06,2.5808952805880767e-06,4.5322085741019755e-06,2.966060954791871e-06,8.70233164101076e-06,9.946911126953869e-06,3.0528249413703134e-05,2.786949689200013e-05,2.7453495065782812e-05,2.397569360728366e-05,2.391687586402554e-05,2.34799046055443e-05,2.4953995407205348e-05,2.7612310417452755e-05,2.9923829661942542e-05,2.7771036758498086e-05,2.778351705375612e-05,2.471626099554962e-05,2.370369793377003e-05,2.4049157982703972e-05,2.4761669008401936e-05,2.7660904696834838e-05
5,9.35242861222023e-06,3.7607941893041005e-06,5.897237401465623e-06,8.24166641682583e-06,7.64010721175675e-06,5.540624868493492e-06,7.640109560821054e-06,8.173516672926227e-06,2.3222383682026704e-05,2.342264363394648e-05,2.4903404152828437e-05,2.6920490069539108e-05,2.8609263413269983e-05,2.8487387399264435e-05,2.7051947333148842e-05,2.4786387728466276e-05,2.3144955667630264e-05,2.387933614475985e-05,2.472643913282727e-05,2.742852018633792e-05,2.8515596598665707e-05,2.8462071705109006e-05,2.698369774208119e-05,2.453611225245193e-05
6,7.811749093135099e-06,5.623524786674172e-06,6.015277018859308e-06,7.2144168064126915e-06,9.458151262118667e-06,7.2530880116238955e-06,8.871487630738467e-06,4.800485401287215e-06,2.2833712958808436e-05,2.417486228829866e-05,2.6254893940875594e-05,3.0862082463629746e-05,3.2314128135205574e-05,3.075940292688576e-05,2.8420517476040143e-05,2.4994437783924026e-05,2.354092777933716e-05,2.4872932057640864e-05,2.6717008464576366e-05,3.0621167649434994e-05,3.194139334992081e-05,3.1140813803518216e-05,2.8713379191411687e-05,2.5604063092840384e-05
7,7.757474576190748e-06,6.0681902358710176e-06,7.105350606768995e-06,6.004588443214241e-06,7.36100291935368e-06,7.715830173779687e-06,5.1196641099438865e-06,3.9296200661172634e-06,2.685996764427845e-05,3.0106307424454375e-05,3.285763794859966e-05,3.706957785415339e-05,3.666192112106503e-05,3.4202039204737495e-05,3.124338057346656e-05,2.856817959063562e-05,2.7253905753523793e-05,3.0421573526919172e-05,3.318313967006772e-05,3.6848715876563754e-05,3.643136675218986e-05,3.44762022982674e-05,3.133498465847033e-05,2.8523295123994664e-05
8,6.5029972984893805e-06,4.394810715738689e-06,6.5952691192625435e-06,7.79662504114922e-06,7.757722485862939e-06,4.682805419936777e-06,3.870883321013203e-06,2.7714786355094583e-06,2.0122684445789706e-05,2.1604531295230604e-05,2.4314390715013618e-05,2.821661167423145e-05,2.8420971456085197e-05,2.6482134033359398e-05,2.4143434268176028e-05,2.1823275649581595e-05,2.012911038839958e-05,2.1745665447930716e-05,2.4235007640021852e-05,2.805879091347669e-05,2.8332153625163432e-05,2.633362003177047e-05,2.4104899785450925e-05,2.1756576542715248e-05
9,3.885571707094209e-06,7.654524732893436e-06,4.289147729420848e-06,4.676329751258974e-06,5.4279868104811416e-06,6.21965128874947e-06,4.9412051564919905e-06,4.189350572764719e-06,2.3314868553133035e-05,2.104777652960381e-05,2.1297286406226822e-05,2.2765012096058445e-05,2.518442623075294e-05,2.6137603518559767e-05,2.617049955293259e-05,2.369227383703197e-05,2.3235295885916293e-05,2.1142137841989578e-05,2.130875960349542e-05,2.271311213929086e-05,2.483150374768694e-05,2.6170120428565593e-05,2.6532201184500997e-05,2.391789583998846e-05
10,8.300296238497291e-06,6.335576719168139e-06,1.6409991692131297e-06,3.455817033715117e-06,2.802728449781495e-06,4.375414275359441e-06,8.115787442616545e-06,7.941316093698078e-06,2.526288327762174e-05,2.3641303041041882e-05,2.1623400703920182e-05,1.9223657725997102e-05,2.0048463966730373e-05,2.117527336807674e-05,2.3793274428153197e-05,2.6159169880486843e-05,2.495803363875132e-05,2.3670853018081337e-05,2.1485684919925777e-05,1.939751985902357e-05,1.9938505888429168e-05,2.11670291394372e-05,2.379625073230709e-05,2.5887327014855304e-05
11,9.676197998252732e-06,7.006284381070827e-06,5.441562932212058e-06,3.640963100511126e-06,7.762370904214815e-06,4.0319003602776175e-06,7.383772444761898e-06,1.017638809737077e-05,3.420088227719793e-05,3.367491086749175e-05,3.0378527719240102e-05,2.7384077681764515e-05,2.6065244424539425e-05,2.7196421036300925e-05,2.9651889020509425e-05,3.2962478271038435e-05,3.415375650694955e-05,3.409376916484986e-05,3.084411332512057e-05,2.783822732781129e-05,2.6213372275569093e-05,2.793860324844979e-05,2.9485635925395333e-05,3.2852835253280084e-05
12,9.847280487187922e-06,6.7911829417734005e-06,8.245686607783992e-06,4.686994719278854e-06,2.2511080923035673e-06,6.226433837044048e-06,3.5729076824914564e-06,1.035087733348586e-05,2.8922441437279856e-05,2.924225794026733e-05,3.0304599327983204e-05,2.6043681266188006e-05,2.4934477636846086e-05,2.39817039249893e-05,2.462398988334965e-05,2.6765778134505803e-05,2.8625424964676487e-05,2.970942647616207e-05,3.133299169601938e-05,2.6388996284422896e-05,2.4877274517594182e-05,2.4458406487097415e-05,2.4540122642849715e-05,2.700853202285462e-05
13,5.648883411172866e-06,9.757035530320192e-06,5.345147441342961e-06,5.634790723568436e-06,7.246695015657878e-06,8.435388188938818e-06,7.378410258030057e-06,6.1443847436819736e-06,2.9546339420880746e-05,2.7546297515196466e-05,2.7030382151482067e-05,2.9496200442392976e-05,3.18814802700303e-05,3.324845775104639e-05,3.421599167742587e-05,3.254269652318285e-05,2.966206421240134e-05,2.744118619086656e-05,2.7038781963376508e-05,2.9522071885123044e-05,3.142507452100131e-05,3.335372884562487e-05,3.460570220174635e-05,3.1853897597531954e-05
